JoinField,mean_turnout_1r,std_turnout_1r,cv_turnout_1r,n_cycles_1r,mean_turnout_ro,std_turnout_ro,cv_turnout_ro,n_cycles_ro
CITY OF CHICAGO:Ward 01 Precinct 01,580.9310747262401,127.40704941321827,0.21931525951380376,3,643.9595064805503,117.28940171310276,0.182137852664258,3
CITY OF CHICAGO:Ward 01 Precinct 02,620.1791418762855,131.5924626580044,0.2121845992109401,3,673.4215072057842,100.19170551712897,0.14878007970498686,3
CITY OF CHICAGO:Ward 01 Precinct 03,642.8425882534694,135.92259863753716,0.21143994054100163,3,702.5078681407118,135.28287268997875,0.19257132741875807,3
CITY OF CHICAGO:Ward 01 Precinct 04,536.5980688478253,91.93108267071852,0.17132205277613366,3,591.7977308979803,123.11285223350822,0.20803197749119384,3
CITY OF CHICAGO:Ward 01 Precinct 05,563.6692335900257,146.2208437316524,0.2594089494655715,3,597.8492849284929,146.76003972940723,0.24547999542553736,3
CITY OF CHICAGO:Ward 01 Precinct 06,495.39811537754696,106.10185452862288,0.2141749256509823,3,529.4069849301344,124.42886783944269,0.23503442791912446,3
CITY OF CHICAGO:Ward 01 Precinct 07,633.5357003807535,131.3379829009904,0.2073095215029817,3,694.2655211450956,122.93380815190801,0.17707030582354943,3
CITY OF CHICAGO:Ward 01 Precinct 08,441.8904081167106,134.90464631802382,0.30528982716093095,3,485.86808467819384,150.2807673897361,0.30930364049178477,3
CITY OF CHICAGO:Ward 01 Precinct 09,299.2659843657607,72.2862768025505,0.2415452493063921,3,319.0770634747061,75.30844042771517,0.23601959854969337,3
CITY OF CHICAGO:Ward 01 Precinct 10,541.6525632415492,223.61675422518468,0.4128416800742861,3,576.4013879561227,261.1882295212727,0.4531360176758546,3
CITY OF CHICAGO:Ward 01 Precinct 11,469.2294741939931,125.52355172289533,0.2675099468943425,3,522.972491464725,139.6085961584468,0.26695208340200727,3
CITY OF CHICAGO:Ward 01 Precinct 12,251.90894889715875,53.26772072377025,0.21145624622298226,3,272.97828536005295,64.59425733142393,0.23662782278167432,3
CITY OF CHICAGO:Ward 01 Precinct 13,374.120007131884,94.73032064394968,0.2532083792315217,3,403.13627523254155,110.75055451374004,0.2747223738420852,3
CITY OF CHICAGO:Ward 01 Precinct 14,359.6807787524663,72.60098974724117,0.20184840012595015,3,389.38475693026356,60.288755981662646,0.15483080657022225,3
CITY OF CHICAGO:Ward 01 Precinct 15,482.58624444826637,168.02759794237832,0.34818149061517856,3,554.469424391178,205.67155860904413,0.37093399484539097,3
CITY OF CHICAGO:Ward 01 Precinct 16,532.727865166085,147.13499693338204,0.2761916666167082,3,599.6782533735401,166.75541160967333,0.27807480206523555,3
CITY OF CHICAGO:Ward 01 Precinct 17,313.1302517396293,108.36998597069626,0.34608596700138355,3,344.9030689588864,117.91073998748975,0.34186631143472107,3
CITY OF CHICAGO:Ward 01 Precinct 18,456.7473944412289,110.8521972283843,0.2426991343081389,3,528.8971005755088,123.93713592835094,0.23433128257555433,3
CITY OF CHICAGO:Ward 01 Precinct 19,396.959620817573,97.40519145428148,0.24537808468696887,3,462.4937479373244,115.09902901013866,0.24886612959303508,3
CITY OF CHICAGO:Ward 01 Precinct 20,335.06106437155796,153.77571310747828,0.45894832154222603,3,374.63349689810724,177.08671489691508,0.4726932224778584,3
CITY OF CHICAGO:Ward 01 Precinct 21,387.6133996105218,108.09686360297005,0.2788780359801466,3,435.8048931701381,144.76973459769263,0.3321893279917226,3
CITY OF CHICAGO:Ward 01 Precinct 22,509.17473302647886,155.53704062280318,0.30546889021438284,3,569.0002362372737,199.43769287572414,0.3505054658581168,3
CITY OF CHICAGO:Ward 01 Precinct 23,261.4266331719498,72.62792938876909,0.27781381149868944,3,303.8323793391548,69.63232464667128,0.22918006566029542,3
CITY OF CHICAGO:Ward 01 Precinct 24,601.0360331749904,198.3709608238249,0.3300483662783486,3,653.2445843245133,237.22241989118135,0.363144870365027,3
CITY OF CHICAGO:Ward 01 Precinct 25,589.895383359487,151.2337923003811,0.2563739208113416,3,652.4570295190701,135.8593909308807,0.20822733878892138,3
CITY OF CHICAGO:Ward 01 Precinct 26,517.5043711797631,147.88524781455732,0.28576618102262774,3,562.3888529257239,180.66417722976107,0.32124423570966804,3
CITY OF CHICAGO:Ward 02 Precinct 01,370.1093487142514,148.55568789205816,0.40138323554413335,3,445.07193783545625,162.76658364737239,0.36570848397893696,3
CITY OF CHICAGO:Ward 02 Precinct 02,682.9621749408983,126.8874413968256,0.185789851989689,3,769.8983451536643,84.37870347419772,0.10959720072830724,3
CITY OF CHICAGO:Ward 02 Precinct 03,331.89841761041583,86.59531280566567,0.2609090860665438,3,383.7650708396486,79.11044979880818,0.2061429134905909,3
CITY OF CHICAGO:Ward 02 Precinct 04,391.24748318950174,79.34751166328196,0.20280644623303504,3,454.2923773843729,73.69944787076996,0.16222910957718642,3
CITY OF CHICAGO:Ward 02 Precinct 05,529.9641431076295,114.75461388530094,0.2165327888268011,3,617.1427753056893,15.987006570055131,0.02590487519218918,3
CITY OF CHICAGO:Ward 02 Precinct 06,711.412543878575,107.3948417830272,0.15096000584628083,3,791.6852139904589,115.71357207053569,0.14616108779812353,3
CITY OF CHICAGO:Ward 02 Precinct 07,643.0104198113171,97.89843567138884,0.15225015436004263,3,698.1845930098683,87.78340403934905,0.12573093837679156,3
CITY OF CHICAGO:Ward 02 Precinct 08,562.0,55.65069631190611,0.09902259130232403,3,624.3333333333334,48.003472096644565,0.07688756876131003,3
CITY OF CHICAGO:Ward 02 Precinct 09,699.9633389962582,110.53667998533463,0.1579178134441203,3,773.78787081043,85.09876365854524,0.10997686429152305,3
CITY OF CHICAGO:Ward 02 Precinct 10,292.3934307412016,45.53459270545134,0.15573055998564536,3,331.59915482824096,29.823668189377585,0.08993891496745644,3
CITY OF CHICAGO:Ward 02 Precinct 11,365.0458767217859,88.65920693252494,0.24287141037918145,3,427.94829640519043,108.10481608406023,0.2526118622089439,3
