joinfield,score_generic,score_black,score_latino,se_generic,se_black,se_latino,n_races_generic,n_races_black,n_races_latino,n_labeled_generic,n_labeled_black,n_labeled_latino
CITY OF CHICAGO:WARD 02 PRECINCT 21,-36.86,-34.85,-46.48,3.85,5.25,6.39,7,3,3,732,386,255
CITY OF CHICAGO:WARD 02 PRECINCT 22,-29.4,-17.01,-43.4,2.21,2.99,3.71,7,3,3,2254,1200,768
CITY OF CHICAGO:WARD 02 PRECINCT 23,-23.98,-18.11,-32.76,2.01,2.85,3.36,7,3,3,2730,1315,985
CITY OF CHICAGO:WARD 02 PRECINCT 24,-35.45,-32.87,-43.09,2.34,3.03,4.05,7,3,3,2084,1195,631
CITY OF CHICAGO:WARD 02 PRECINCT 25,-33.89,-36.72,-36.38,1.79,2.55,3.0,7,3,3,3531,1738,1232
CITY OF CHICAGO:WARD 03 PRECINCT 01,7.26,21.68,-16.09,1.74,2.64,2.78,7,3,3,3463,1460,1391
CITY OF CHICAGO:WARD 03 PRECINCT 02,0.47,17.42,-29.61,1.59,2.44,2.5,7,3,3,4100,1688,1704
CITY OF CHICAGO:WARD 03 PRECINCT 03,-4.58,3.17,-18.86,2.04,3.04,3.3,7,3,3,2628,1128,1038
CITY OF CHICAGO:WARD 03 PRECINCT 04,11.73,30.71,-16.05,1.9,2.84,3.01,7,3,3,2825,1244,1132
CITY OF CHICAGO:WARD 03 PRECINCT 05,-4.87,15.8,-35.44,3.79,5.76,6.21,7,3,3,866,316,378
CITY OF CHICAGO:WARD 03 PRECINCT 06,1.58,13.1,-14.05,1.84,2.74,2.93,7,3,3,3186,1377,1306
CITY OF CHICAGO:WARD 03 PRECINCT 07,-2.71,11.86,-26.24,2.28,3.41,3.63,7,3,3,2055,882,842
CITY OF CHICAGO:WARD 03 PRECINCT 08,7.28,24.89,-15.59,1.92,2.97,3.03,7,3,3,2930,1153,1243
CITY OF CHICAGO:WARD 03 PRECINCT 09,2.0,22.64,-19.58,2.69,3.64,4.68,7,3,3,1524,789,465
CITY OF CHICAGO:WARD 03 PRECINCT 10,-20.52,-13.28,-35.98,2.68,3.15,4.91,7,3,3,1697,1034,447
CITY OF CHICAGO:WARD 03 PRECINCT 11,7.3,19.69,-13.32,1.61,2.39,2.58,7,3,3,3934,1764,1540
CITY OF CHICAGO:WARD 03 PRECINCT 12,8.88,24.44,-15.53,1.66,2.49,2.65,7,3,3,3739,1638,1497
CITY OF CHICAGO:WARD 03 PRECINCT 13,-21.28,-15.92,-33.45,1.54,2.21,2.55,7,3,3,4488,2111,1638
CITY OF CHICAGO:WARD 03 PRECINCT 14,-0.39,5.66,-8.19,1.68,2.26,2.92,7,3,3,3850,2030,1190
CITY OF CHICAGO:WARD 03 PRECINCT 15,5.62,21.0,-18.17,1.87,2.83,2.95,7,3,3,2971,1266,1208
CITY OF CHICAGO:WARD 03 PRECINCT 16,-11.65,2.0,-30.76,2.53,3.36,4.3,7,3,3,1672,905,547
CITY OF CHICAGO:WARD 03 PRECINCT 17,-7.17,7.39,-31.71,3.33,5.25,5.15,7,3,3,1000,374,447
CITY OF CHICAGO:WARD 03 PRECINCT 18,0.9,12.11,-16.27,3.18,5.05,5.02,7,3,3,1275,417,589
CITY OF CHICAGO:WARD 03 PRECINCT 19,-24.72,-21.53,-33.32,1.56,2.17,2.65,7,3,3,4481,2245,1492
CITY OF CHICAGO:WARD 03 PRECINCT 20,2.25,20.68,-26.13,1.66,2.52,2.6,7,3,3,3775,1585,1576
CITY OF CHICAGO:WARD 03 PRECINCT 21,-3.89,4.21,-15.26,2.01,2.85,3.37,7,3,3,2591,1261,905
CITY OF CHICAGO:WARD 03 PRECINCT 22,5.37,21.62,-15.72,2.21,3.05,3.74,7,3,3,2156,1099,723
CITY OF CHICAGO:WARD 03 PRECINCT 23,-2.86,8.77,-23.87,2.46,3.77,3.9,7,3,3,1828,742,773
CITY OF CHICAGO:WARD 03 PRECINCT 24,3.34,18.86,-19.0,3.79,6.21,5.85,7,3,3,876,270,410
CITY OF CHICAGO:WARD 03 PRECINCT 25,-32.74,-35.2,-38.23,1.61,2.23,2.77,7,3,3,4263,2168,1374
CITY OF CHICAGO:WARD 03 PRECINCT 26,2.19,15.84,-18.3,2.47,3.76,3.92,7,3,3,1816,737,774
CITY OF CHICAGO:WARD 03 PRECINCT 27,-14.34,-10.21,-21.23,1.79,2.45,3.09,7,3,3,3453,1788,1079
CITY OF CHICAGO:WARD 04 PRECINCT 01,39.72,43.45,28.06,1.57,2.28,2.6,7,3,3,4313,2006,1561
CITY OF CHICAGO:WARD 04 PRECINCT 02,23.32,31.53,2.28,2.27,3.5,3.59,7,3,3,2096,834,888
CITY OF CHICAGO:WARD 04 PRECINCT 03,27.34,30.21,11.65,1.89,2.66,3.14,7,3,3,2907,1438,1035
CITY OF CHICAGO:WARD 04 PRECINCT 04,17.75,30.67,-5.11,1.75,2.51,2.84,7,3,3,3411,1630,1285
CITY OF CHICAGO:WARD 04 PRECINCT 05,8.37,23.18,-17.61,2.48,3.79,3.97,7,3,3,1840,723,802
CITY OF CHICAGO:WARD 04 PRECINCT 06,11.66,25.73,-17.56,2.01,3.03,3.21,7,3,3,2650,1126,1077
CITY OF CHICAGO:WARD 04 PRECINCT 07,13.28,24.99,-7.6,2.3,3.35,3.72,7,3,3,1971,911,757
CITY OF CHICAGO:WARD 04 PRECINCT 08,11.5,21.96,-14.25,1.88,2.89,2.94,7,3,3,2912,1209,1229
CITY OF CHICAGO:WARD 04 PRECINCT 09,14.48,29.67,-10.93,1.87,2.87,2.98,7,3,3,3010,1235,1223
CITY OF CHICAGO:WARD 04 PRECINCT 10,14.68,31.21,-12.47,2.02,2.92,3.3,7,3,3,2571,1188,973
CITY OF CHICAGO:WARD 04 PRECINCT 11,18.48,34.31,-6.31,1.71,2.53,2.77,7,3,3,3602,1588,1396
CITY OF CHICAGO:WARD 04 PRECINCT 12,11.53,24.18,-12.45,2.18,3.07,3.62,7,3,3,2196,1087,781
CITY OF CHICAGO:WARD 04 PRECINCT 13,7.93,19.26,-16.32,2.09,3.13,3.38,7,3,3,2421,1048,950
CITY OF CHICAGO:WARD 04 PRECINCT 14,18.29,30.89,-6.53,2.17,3.13,3.57,7,3,3,2215,1048,809
CITY OF CHICAGO:WARD 04 PRECINCT 15,15.87,30.55,-9.84,2.22,3.26,3.62,7,3,3,2085,953,784
CITY OF CHICAGO:WARD 04 PRECINCT 16,13.41,29.64,-13.62,1.93,2.87,3.15,7,3,3,2854,1268,1083
CITY OF CHICAGO:WARD 04 PRECINCT 17,5.69,20.74,-20.42,1.66,2.55,2.62,7,3,3,4014,1593,1700
CITY OF CHICAGO:WARD 04 PRECINCT 18,0.52,16.34,-21.25,3.02,4.77,4.64,7,3,3,1337,469,657
CITY OF CHICAGO:WARD 04 PRECINCT 19,7.21,19.89,-14.59,2.12,2.87,3.5,7,3,3,2334,1231,818
CITY OF CHICAGO:WARD 04 PRECINCT 20,4.75,19.64,-20.52,1.71,2.62,2.71,7,3,3,3799,1505,1624
CITY OF CHICAGO:WARD 04 PRECINCT 21,7.18,23.11,-21.95,2.16,3.16,3.46,7,3,3,2221,1023,883
CITY OF CHICAGO:WARD 04 PRECINCT 22,-1.11,12.76,-21.7,3.39,4.34,5.68,7,3,3,952,532,323
CITY OF CHICAGO:WARD 04 PRECINCT 23,0.24,8.46,-22.32,2.26,3.48,3.56,7,3,3,2188,869,959
CITY OF CHICAGO:WARD 04 PRECINCT 24,0.92,12.02,-19.43,1.59,2.33,2.55,7,3,3,4161,1869,1649
CITY OF CHICAGO:WARD 04 PRECINCT 25,-16.16,-10.43,-27.65,1.58,2.19,2.67,7,3,3,4211,2125,1432
CITY OF CHICAGO:WARD 04 PRECINCT 26,-13.31,-12.73,-18.38,1.69,2.23,2.91,7,3,3,3811,2093,1190
CITY OF CHICAGO:WARD 04 PRECINCT 27,5.02,24.92,-14.46,1.75,2.55,2.91,7,3,3,3545,1620,1257
CITY OF CHICAGO:WARD 04 PRECINCT 28,0.76,9.98,-9.81,1.66,2.23,2.85,7,3,3,3857,2045,1244
CITY OF CHICAGO:WARD 05 PRECINCT 01,10.51,26.67,-13.0,1.69,2.62,2.64,7,3,3,3958,1487,1782
CITY OF CHICAGO:WARD 05 PRECINCT 02,8.47,16.21,-11.03,1.54,2.34,2.45,7,3,3,4435,1846,1828
CITY OF CHICAGO:WARD 05 PRECINCT 03,10.77,22.84,-10.34,1.64,2.49,2.62,7,3,3,4070,1640,1706
CITY OF CHICAGO:WARD 05 PRECINCT 04,6.59,20.48,-17.6,1.81,2.78,2.87,7,3,3,3431,1341,1474
CITY OF CHICAGO:WARD 05 PRECINCT 05,9.68,21.81,-14.5,2.77,4.05,4.45,7,3,3,1333,612,524
CITY OF CHICAGO:WARD 05 PRECINCT 06,6.83,19.28,-13.81,2.55,3.84,4.05,7,3,3,1662,698,700
CITY OF CHICAGO:WARD 05 PRECINCT 07,9.8,16.44,-7.21,3.56,5.87,5.5,7,3,3,1099,307,535
CITY OF CHICAGO:WARD 05 PRECINCT 08,3.72,7.93,-11.09,3.07,4.57,4.93,7,3,3,1123,489,449
CITY OF CHICAGO:WARD 05 PRECINCT 09,9.53,13.96,-2.29,3.26,4.88,5.17,7,3,3,994,431,411
CITY OF CHICAGO:WARD 05 PRECINCT 10,9.65,19.98,-7.49,2.56,4.16,3.9,7,3,3,1790,586,854
CITY OF CHICAGO:WARD 05 PRECINCT 11,5.37,13.92,-9.87,2.17,3.36,3.4,7,3,3,2432,931,1095
CITY OF CHICAGO:WARD 05 PRECINCT 12,11.62,20.15,-8.13,1.53,2.3,2.45,7,3,3,4415,1899,1742
CITY OF CHICAGO:WARD 05 PRECINCT 13,11.0,25.59,-11.44,2.59,3.88,4.18,7,3,3,1680,700,699
CITY OF CHICAGO:WARD 05 PRECINCT 14,2.33,18.67,-20.89,2.35,3.62,3.72,7,3,3,1967,793,829
CITY OF CHICAGO:WARD 05 PRECINCT 15,24.75,32.42,9.15,1.35,1.98,2.19,7,3,3,5768,2619,2185
CITY OF CHICAGO:WARD 05 PRECINCT 16,20.73,25.2,3.01,1.75,2.54,2.9,7,3,3,3420,1586,1244
CITY OF CHICAGO:WARD 05 PRECINCT 17,16.37,24.33,-5.14,1.98,2.97,3.18,7,3,3,2671,1147,1060
CITY OF CHICAGO:WARD 05 PRECINCT 18,5.35,16.07,-19.05,1.4,2.04,2.27,7,3,3,5261,2411,1999
CITY OF CHICAGO:WARD 05 PRECINCT 19,4.0,12.81,-23.18,2.0,2.95,3.09,7,3,3,2567,1152,1109
CITY OF CHICAGO:WARD 05 PRECINCT 20,24.81,38.2,-1.0,1.66,2.45,2.68,7,3,3,3754,1694,1432
CITY OF CHICAGO:WARD 05 PRECINCT 21,35.97,37.9,26.9,1.74,2.62,2.83,7,3,3,3554,1518,1380
CITY OF CHICAGO:WARD 05 PRECINCT 22,35.4,42.48,22.49,1.63,2.39,2.65,7,3,3,3904,1777,1483
CITY OF CHICAGO:WARD 05 PRECINCT 23,14.05,13.73,2.7,2.17,3.32,3.44,7,3,3,2273,926,947
CITY OF CHICAGO:WARD 05 PRECINCT 24,20.37,23.91,9.73,2.34,3.52,3.9,7,3,3,2427,943,954
CITY OF CHICAGO:WARD 05 PRECINCT 25,15.08,20.46,0.45,1.41,2.02,2.33,7,3,3,5335,2555,1947
CITY OF CHICAGO:WARD 06 PRECINCT 01,1.66,13.53,-13.82,3.04,4.64,4.93,7,3,3,1288,490,553
CITY OF CHICAGO:WARD 06 PRECINCT 02,-0.98,13.93,-20.0,2.74,4.03,4.48,7,3,3,1449,633,573
