joinfield,score_generic,score_black,score_latino,se_generic,se_black,se_latino,n_races_generic,n_races_black,n_races_latino,n_labeled_generic,n_labeled_black,n_labeled_latino
CITY OF CHICAGO:WARD 08 PRECINCT 06,4.13,19.08,-21.07,1.66,2.55,2.61,7,3,3,3933,1564,1717
CITY OF CHICAGO:WARD 08 PRECINCT 07,3.03,17.26,-21.0,2.15,3.42,3.26,7,3,3,2361,865,1094
CITY OF CHICAGO:WARD 08 PRECINCT 08,3.61,18.74,-20.67,1.49,2.3,2.32,7,3,3,4727,1915,2040
CITY OF CHICAGO:WARD 08 PRECINCT 09,3.65,16.73,-16.08,1.92,2.97,2.98,7,3,3,2885,1153,1253
CITY OF CHICAGO:WARD 08 PRECINCT 10,-3.73,10.89,-26.57,1.86,3.0,2.85,7,3,3,3479,1158,1663
CITY OF CHICAGO:WARD 08 PRECINCT 11,1.88,20.5,-23.12,1.97,3.05,3.09,7,3,3,2783,1098,1208
CITY OF CHICAGO:WARD 08 PRECINCT 12,6.75,20.3,-18.07,1.8,2.73,2.84,7,3,3,3166,1353,1312
CITY OF CHICAGO:WARD 08 PRECINCT 13,0.78,15.83,-23.66,1.86,2.84,2.9,7,3,3,3047,1267,1309
CITY OF CHICAGO:WARD 08 PRECINCT 14,2.15,18.04,-23.58,1.73,2.66,2.7,7,3,3,3523,1434,1536
CITY OF CHICAGO:WARD 08 PRECINCT 15,1.74,19.5,-22.16,2.08,3.14,3.27,7,3,3,2443,1031,1029
CITY OF CHICAGO:WARD 08 PRECINCT 16,-1.11,11.28,-23.04,2.06,3.19,3.21,7,3,3,2560,995,1129
CITY OF CHICAGO:WARD 08 PRECINCT 17,-0.01,12.99,-24.78,1.6,2.43,2.51,7,3,3,4084,1726,1723
CITY OF CHICAGO:WARD 08 PRECINCT 18,0.27,17.11,-26.3,1.36,2.06,2.13,7,3,3,5507,2367,2303
CITY OF CHICAGO:WARD 08 PRECINCT 19,3.66,17.32,-17.74,1.61,2.49,2.51,7,3,3,4135,1639,1826
CITY OF CHICAGO:WARD 08 PRECINCT 20,-2.91,8.16,-23.19,2.33,3.63,3.64,7,3,3,2051,773,932
CITY OF CHICAGO:WARD 08 PRECINCT 21,5.58,19.44,-15.5,2.22,3.48,3.43,7,3,3,2234,836,1014
CITY OF CHICAGO:WARD 08 PRECINCT 22,-3.52,10.09,-27.02,2.61,4.0,4.1,7,3,3,1583,634,693
CITY OF CHICAGO:WARD 08 PRECINCT 23,-5.85,14.17,-32.64,1.54,2.38,2.39,7,3,3,4437,1789,1932
CITY OF CHICAGO:WARD 08 PRECINCT 24,3.96,22.49,-23.44,1.98,3.09,3.04,7,3,3,2773,1070,1260
CITY OF CHICAGO:WARD 08 PRECINCT 25,9.99,24.26,-9.5,2.87,4.37,4.5,7,3,3,1294,535,552
CITY OF CHICAGO:WARD 08 PRECINCT 26,4.98,19.53,-17.41,2.21,3.43,3.46,7,3,3,2241,876,993
CITY OF CHICAGO:WARD 08 PRECINCT 27,3.75,24.24,-24.06,1.85,2.8,2.9,7,3,3,3075,1302,1291
CITY OF CHICAGO:WARD 08 PRECINCT 28,-4.43,12.93,-28.17,2.28,3.54,3.58,7,3,3,2144,827,942
CITY OF CHICAGO:WARD 08 PRECINCT 29,1.54,16.09,-21.47,1.92,2.98,2.96,7,3,3,2871,1143,1274
CITY OF CHICAGO:WARD 08 PRECINCT 30,2.62,20.26,-24.61,1.99,3.07,3.15,7,3,3,2676,1076,1128
CITY OF CHICAGO:WARD 09 PRECINCT 01,-0.13,18.97,-26.27,1.88,2.82,3.02,7,3,3,3036,1291,1233
CITY OF CHICAGO:WARD 09 PRECINCT 02,1.71,12.58,-14.98,2.31,3.55,3.68,7,3,3,2179,828,955
CITY OF CHICAGO:WARD 09 PRECINCT 03,-0.69,16.71,-23.76,3.07,4.73,4.74,7,3,3,1171,461,541
CITY OF CHICAGO:WARD 09 PRECINCT 04,2.19,13.77,-17.58,2.1,3.24,3.24,7,3,3,2391,969,1051
CITY OF CHICAGO:WARD 09 PRECINCT 05,1.26,9.84,-14.49,2.08,3.21,3.24,7,3,3,2538,996,1143
CITY OF CHICAGO:WARD 09 PRECINCT 06,0.57,13.85,-19.84,1.62,2.42,2.55,7,3,3,3933,1731,1634
CITY OF CHICAGO:WARD 09 PRECINCT 07,-5.24,5.04,-20.13,1.82,2.84,2.82,7,3,3,3315,1273,1501
CITY OF CHICAGO:WARD 09 PRECINCT 08,-3.88,11.48,-24.27,1.87,2.92,2.89,7,3,3,3252,1216,1505
CITY OF CHICAGO:WARD 09 PRECINCT 09,-1.62,9.34,-18.66,2.33,3.73,3.61,7,3,3,2222,750,1064
CITY OF CHICAGO:WARD 09 PRECINCT 10,-1.49,13.68,-21.71,1.59,2.45,2.46,7,3,3,4194,1690,1837
CITY OF CHICAGO:WARD 09 PRECINCT 11,-2.14,11.93,-20.41,2.91,4.57,4.58,7,3,3,1434,497,681
CITY OF CHICAGO:WARD 09 PRECINCT 12,0.23,18.38,-23.1,1.71,2.57,2.71,7,3,3,3599,1531,1502
CITY OF CHICAGO:WARD 09 PRECINCT 13,1.89,16.47,-17.99,1.79,2.72,2.83,7,3,3,3278,1361,1392
CITY OF CHICAGO:WARD 09 PRECINCT 14,1.72,18.72,-19.45,2.39,3.71,3.72,7,3,3,1890,732,846
CITY OF CHICAGO:WARD 09 PRECINCT 15,-0.36,12.19,-20.1,2.0,3.11,3.12,7,3,3,2745,1047,1233
CITY OF CHICAGO:WARD 09 PRECINCT 16,3.13,17.51,-17.39,1.76,2.76,2.71,7,3,3,3597,1338,1645
CITY OF CHICAGO:WARD 09 PRECINCT 17,-8.33,5.82,-30.34,3.23,5.26,4.82,7,3,3,1148,374,584
CITY OF CHICAGO:WARD 09 PRECINCT 18,-5.98,8.97,-26.34,2.52,3.86,3.97,7,3,3,1765,694,779
CITY OF CHICAGO:WARD 09 PRECINCT 19,-0.84,6.09,-10.5,2.67,4.43,3.97,7,3,3,1726,524,870
CITY OF CHICAGO:WARD 09 PRECINCT 20,-0.28,5.41,-6.96,1.97,2.83,3.25,7,3,3,2702,1286,992
CITY OF CHICAGO:WARD 09 PRECINCT 21,-2.39,11.3,-21.83,1.95,3.02,3.07,7,3,3,3008,1118,1359
CITY OF CHICAGO:WARD 09 PRECINCT 22,-6.61,9.36,-29.46,2.28,3.59,3.5,7,3,3,2216,810,1064
CITY OF CHICAGO:WARD 09 PRECINCT 23,-2.74,10.68,-20.75,2.54,3.95,3.95,7,3,3,1728,664,784
CITY OF CHICAGO:WARD 09 PRECINCT 24,-3.87,7.74,-22.23,2.06,3.1,3.26,7,3,3,2525,1062,1065
CITY OF CHICAGO:WARD 09 PRECINCT 25,-1.94,11.28,-22.01,2.34,3.58,3.64,7,3,3,1949,795,856
CITY OF CHICAGO:WARD 09 PRECINCT 26,3.67,15.83,-11.43,1.91,2.93,2.99,7,3,3,2987,1185,1299
CITY OF CHICAGO:WARD 09 PRECINCT 27,-3.19,16.72,-27.92,2.6,3.97,4.05,7,3,3,1548,641,671
CITY OF CHICAGO:WARD 09 PRECINCT 28,0.67,5.04,-6.47,3.07,4.7,4.93,7,3,3,1220,469,528
CITY OF CHICAGO:WARD 09 PRECINCT 29,0.43,11.52,-15.6,1.66,2.53,2.6,7,3,3,3911,1586,1713
CITY OF CHICAGO:WARD 09 PRECINCT 30,-3.75,11.83,-25.15,1.87,2.91,2.87,7,3,3,3133,1194,1430
CITY OF CHICAGO:WARD 10 PRECINCT 01,8.38,8.38,15.56,3.56,5.72,5.35,7,3,3,1004,343,518
CITY OF CHICAGO:WARD 10 PRECINCT 02,9.89,-5.69,33.29,3.28,4.94,5.24,7,3,3,1132,453,512
CITY OF CHICAGO:WARD 10 PRECINCT 03,11.46,-0.64,31.97,2.66,4.18,4.17,7,3,3,1749,633,821
CITY OF CHICAGO:WARD 10 PRECINCT 04,4.7,3.5,4.16,2.31,3.61,3.6,7,3,3,2243,803,1067
CITY OF CHICAGO:WARD 10 PRECINCT 05,18.62,-5.55,57.69,3.82,6.09,5.84,7,3,3,865,314,416
CITY OF CHICAGO:WARD 10 PRECINCT 06,17.73,7.95,41.87,3.28,5.2,4.99,7,3,3,1081,396,519
CITY OF CHICAGO:WARD 10 PRECINCT 07,7.35,-10.83,38.91,2.28,3.62,3.51,7,3,3,2334,889,1037
CITY OF CHICAGO:WARD 10 PRECINCT 08,5.07,-17.67,41.12,2.4,3.76,3.7,7,3,3,2139,859,961
CITY OF CHICAGO:WARD 10 PRECINCT 09,23.39,8.42,55.45,2.32,3.69,3.53,7,3,3,2229,839,1054
CITY OF CHICAGO:WARD 10 PRECINCT 10,15.86,4.36,43.91,2.34,3.69,3.64,7,3,3,2296,843,1083
CITY OF CHICAGO:WARD 10 PRECINCT 11,18.58,5.25,48.43,3.64,5.94,5.52,7,3,3,1003,319,512
CITY OF CHICAGO:WARD 10 PRECINCT 12,14.26,-7.16,49.87,2.41,3.8,3.68,7,3,3,2086,819,959
CITY OF CHICAGO:WARD 10 PRECINCT 13,13.66,-4.56,46.78,2.08,3.23,3.17,7,3,3,2623,1055,1196
CITY OF CHICAGO:WARD 10 PRECINCT 14,9.37,-7.2,38.52,1.81,2.83,2.81,7,3,3,3598,1447,1597
CITY OF CHICAGO:WARD 10 PRECINCT 15,-4.42,-24.57,26.12,2.02,3.19,3.15,7,3,3,3146,1197,1437
CITY OF CHICAGO:WARD 10 PRECINCT 16,6.96,-15.0,42.75,1.83,2.89,2.84,7,3,3,3749,1403,1727
CITY OF CHICAGO:WARD 10 PRECINCT 17,-4.51,-23.23,25.48,2.02,3.14,3.18,7,3,3,3091,1264,1335
CITY OF CHICAGO:WARD 10 PRECINCT 18,-15.52,-33.71,9.75,1.91,2.85,3.11,7,3,3,3495,1512,1428
CITY OF CHICAGO:WARD 10 PRECINCT 19,-19.38,-40.64,8.37,2.37,3.63,3.79,7,3,3,2303,923,1008
CITY OF CHICAGO:WARD 10 PRECINCT 20,-9.15,-20.11,11.24,2.9,4.53,4.57,7,3,3,1533,555,719
CITY OF CHICAGO:WARD 10 PRECINCT 21,-16.88,-33.41,6.4,2.71,4.04,4.34,7,3,3,1622,735,663
CITY OF CHICAGO:WARD 10 PRECINCT 22,-19.54,-38.83,6.77,2.05,3.16,3.27,7,3,3,3483,1399,1559
CITY OF CHICAGO:WARD 10 PRECINCT 23,2.93,-6.32,21.07,2.38,3.79,3.66,7,3,3,2197,767,1074
CITY OF CHICAGO:WARD 10 PRECINCT 24,0.31,10.17,-9.66,3.62,5.7,5.7,7,3,3,964,333,451
CITY OF CHICAGO:WARD 10 PRECINCT 25,-4.02,13.93,-25.86,3.1,4.7,5.02,7,3,3,1230,478,535
CITY OF CHICAGO:WARD 11 PRECINCT 01,-17.88,-29.89,-12.36,3.1,4.3,5.28,7,3,3,1312,668,462
CITY OF CHICAGO:WARD 11 PRECINCT 02,-23.39,-35.82,-16.15,4.64,6.3,8.13,7,3,3,698,347,255
CITY OF CHICAGO:WARD 11 PRECINCT 03,-18.6,-33.08,-2.59,1.94,2.75,3.32,7,3,3,3734,1830,1351
CITY OF CHICAGO:WARD 11 PRECINCT 04,-11.38,-17.46,-0.94,2.29,3.32,3.77,7,3,3,2251,1076,847
CITY OF CHICAGO:WARD 11 PRECINCT 05,-6.7,-23.45,14.72,2.31,3.36,3.82,7,3,3,2425,1161,907
CITY OF CHICAGO:WARD 11 PRECINCT 06,-3.09,-21.34,21.57,1.95,2.86,3.18,7,3,3,3209,1505,1249
CITY OF CHICAGO:WARD 11 PRECINCT 07,-28.42,-43.16,-16.02,2.69,3.7,4.72,7,3,3,2465,1201,936
CITY OF CHICAGO:WARD 11 PRECINCT 08,-24.36,-36.85,-14.07,2.04,2.82,3.52,7,3,3,3527,1799,1248
CITY OF CHICAGO:WARD 11 PRECINCT 09,-26.97,-44.48,-6.81,2.02,2.96,3.35,7,3,3,3348,1559,1294
CITY OF CHICAGO:WARD 11 PRECINCT 10,-36.98,-49.78,-24.94,4.3,6.52,7.1,7,3,3,843,373,320
CITY OF CHICAGO:WARD 11 PRECINCT 11,-26.35,-37.07,-11.12,4.91,7.81,7.76,7,3,3,714,294,309
CITY OF CHICAGO:WARD 11 PRECINCT 12,-41.38,-47.52,-36.74,3.4,5.24,5.45,7,3,3,1202,529,484
CITY OF CHICAGO:WARD 11 PRECINCT 13,-27.58,-38.08,-17.41,2.06,3.07,3.35,7,3,3,2988,1359,1172
CITY OF CHICAGO:WARD 11 PRECINCT 14,-11.28,-20.6,0.87,1.52,2.27,2.45,7,3,3,5196,2281,2100
CITY OF CHICAGO:WARD 11 PRECINCT 15,20.74,16.25,30.66,1.85,2.77,2.99,7,3,3,3310,1477,1294
CITY OF CHICAGO:WARD 11 PRECINCT 16,8.3,4.36,16.75,1.68,2.41,2.78,7,3,3,3885,1878,1415
CITY OF CHICAGO:WARD 11 PRECINCT 17,-7.24,-20.66,10.45,2.37,3.49,3.86,7,3,3,2135,992,836
CITY OF CHICAGO:WARD 11 PRECINCT 18,7.5,-18.39,44.18,2.04,3.04,3.39,7,3,3,3035,1334,1145
CITY OF CHICAGO:WARD 11 PRECINCT 19,10.55,-20.91,49.9,3.77,5.52,6.26,7,3,3,882,403,330
CITY OF CHICAGO:WARD 11 PRECINCT 20,-7.92,-16.36,1.99,2.14,3.05,3.58,7,3,3,2557,1259,882
CITY OF CHICAGO:WARD 11 PRECINCT 21,-34.6,-42.94,-27.38,1.6,2.48,2.52,7,3,3,4820,2016,2009
CITY OF CHICAGO:WARD 11 PRECINCT 22,-34.35,-51.32,-15.16,1.99,3.07,3.18,7,3,3,3362,1479,1354
CITY OF CHICAGO:WARD 11 PRECINCT 23,-31.12,-43.14,-17.2,1.93,2.96,3.08,7,3,3,3430,1474,1380
CITY OF CHICAGO:WARD 12 PRECINCT 01,22.99,7.7,49.73,2.55,3.91,4.04,7,3,3,1794,755,739
CITY OF CHICAGO:WARD 12 PRECINCT 02,23.96,2.37,61.66,3.08,4.74,4.91,7,3,3,1280,547,520
CITY OF CHICAGO:WARD 12 PRECINCT 03,25.92,8.49,55.02,2.17,3.2,3.55,7,3,3,2319,1063,866
CITY OF CHICAGO:WARD 12 PRECINCT 04,24.83,10.66,52.8,2.47,3.67,4.0,7,3,3,1878,841,729
CITY OF CHICAGO:WARD 12 PRECINCT 05,19.55,-3.25,54.2,2.4,3.64,3.87,7,3,3,2042,868,816
CITY OF CHICAGO:WARD 12 PRECINCT 06,16.82,-5.04,53.6,2.67,3.93,4.39,7,3,3,1714,778,654
CITY OF CHICAGO:WARD 12 PRECINCT 07,10.1,-15.36,49.77,2.66,4.12,4.18,7,3,3,1672,685,712
CITY OF CHICAGO:WARD 12 PRECINCT 08,6.37,-15.11,36.82,2.55,3.82,4.14,7,3,3,1722,762,648
CITY OF CHICAGO:WARD 12 PRECINCT 09,17.02,-3.07,46.87,3.38,5.17,5.38,7,3,3,961,409,386
CITY OF CHICAGO:WARD 12 PRECINCT 10,27.39,15.05,58.04,2.54,4.05,3.87,7,3,3,1840,696,841
CITY OF CHICAGO:WARD 12 PRECINCT 11,29.22,8.42,71.81,2.89,4.55,4.47,7,3,3,1451,577,640
CITY OF CHICAGO:WARD 12 PRECINCT 12,19.14,1.02,55.23,2.98,4.58,4.79,7,3,3,1315,532,544
CITY OF CHICAGO:WARD 12 PRECINCT 13,23.47,4.62,57.88,2.79,4.29,4.45,7,3,3,1546,650,634
CITY OF CHICAGO:WARD 12 PRECINCT 14,28.09,14.07,57.78,2.69,4.18,4.25,7,3,3,1564,630,645
CITY OF CHICAGO:WARD 12 PRECINCT 15,23.96,-2.15,67.19,2.61,4.1,4.06,7,3,3,1737,676,762
CITY OF CHICAGO:WARD 12 PRECINCT 16,28.34,10.37,62.95,2.57,4.14,3.97,7,3,3,1921,702,876
CITY OF CHICAGO:WARD 12 PRECINCT 17,26.85,4.91,62.97,2.84,4.27,4.65,7,3,3,1543,643,637
CITY OF CHICAGO:WARD 12 PRECINCT 18,30.26,11.86,66.64,2.56,4.13,3.94,7,3,3,1952,694,887
CITY OF CHICAGO:WARD 12 PRECINCT 19,29.26,10.27,62.84,3.1,4.81,4.87,7,3,3,1179,478,497
CITY OF CHICAGO:WARD 12 PRECINCT 20,31.92,13.81,66.39,2.61,4.08,3.97,7,3,3,1600,633,728
CITY OF CHICAGO:WARD 12 PRECINCT 21,24.68,9.91,51.92,2.64,4.04,4.14,7,3,3,1610,683,674
CITY OF CHICAGO:WARD 12 PRECINCT 22,28.81,9.93,64.89,2.91,4.79,4.38,7,3,3,1504,487,740
CITY OF CHICAGO:WARD 13 PRECINCT 01,-1.58,-14.89,19.91,2.62,4.33,3.93,7,3,3,1750,596,819
CITY OF CHICAGO:WARD 13 PRECINCT 02,-6.27,-19.4,17.54,2.64,4.17,4.14,7,3,3,1779,683,781
CITY OF CHICAGO:WARD 13 PRECINCT 03,-37.14,-58.09,-12.98,2.24,3.46,3.64,7,3,3,2820,1183,1114
CITY OF CHICAGO:WARD 13 PRECINCT 04,5.43,-8.14,28.17,2.37,3.74,3.66,7,3,3,2132,827,950
CITY OF CHICAGO:WARD 13 PRECINCT 05,-22.57,-46.38,6.2,2.63,3.97,4.23,7,3,3,1768,788,705
CITY OF CHICAGO:WARD 13 PRECINCT 06,-25.42,-49.24,4.01,2.71,4.25,4.33,7,3,3,1932,796,803
CITY OF CHICAGO:WARD 13 PRECINCT 07,-28.13,-49.94,-2.73,2.69,4.12,4.27,7,3,3,1706,730,704
CITY OF CHICAGO:WARD 13 PRECINCT 08,-6.89,-21.0,16.91,2.22,3.45,3.52,7,3,3,2409,981,1007
CITY OF CHICAGO:WARD 13 PRECINCT 09,-34.84,-54.77,-12.48,2.15,3.19,3.54,7,3,3,2793,1279,1042
CITY OF CHICAGO:WARD 13 PRECINCT 10,-36.3,-60.32,-10.8,2.23,3.43,3.57,7,3,3,2561,1129,987
CITY OF CHICAGO:WARD 13 PRECINCT 11,-28.15,-48.36,-4.06,2.98,4.67,4.78,7,3,3,1537,609,635
CITY OF CHICAGO:WARD 13 PRECINCT 12,7.27,-4.27,32.15,3.03,4.84,4.58,7,3,3,1264,489,571
CITY OF CHICAGO:WARD 13 PRECINCT 13,-21.12,-50.57,17.64,3.05,4.67,4.96,7,3,3,1606,711,640
CITY OF CHICAGO:WARD 13 PRECINCT 14,-20.81,-43.22,8.29,2.54,3.85,4.06,7,3,3,1813,781,730
CITY OF CHICAGO:WARD 13 PRECINCT 15,-24.85,-39.82,-4.33,2.82,4.4,4.49,7,3,3,1720,702,712
CITY OF CHICAGO:WARD 13 PRECINCT 16,-13.31,-23.13,4.22,2.38,3.77,3.7,7,3,3,2209,823,998
CITY OF CHICAGO:WARD 13 PRECINCT 17,3.59,-11.14,30.45,2.26,3.63,3.47,7,3,3,2440,887,1120
CITY OF CHICAGO:WARD 13 PRECINCT 18,-4.99,-17.17,17.28,2.73,4.39,4.24,7,3,3,1680,600,744
CITY OF CHICAGO:WARD 13 PRECINCT 19,-22.47,-46.03,8.87,3.16,4.84,5.06,7,3,3,1319,562,551
CITY OF CHICAGO:WARD 13 PRECINCT 20,-28.51,-50.66,-2.03,2.45,3.73,3.98,7,3,3,2095,931,789
CITY OF CHICAGO:WARD 13 PRECINCT 21,-24.68,-53.89,7.41,2.77,4.14,4.54,7,3,3,1685,744,664
CITY OF CHICAGO:WARD 13 PRECINCT 22,0.31,-13.06,23.93,2.26,3.53,3.54,7,3,3,2316,951,981
CITY OF CHICAGO:WARD 13 PRECINCT 23,-34.88,-64.87,-2.5,2.41,3.66,3.94,7,3,3,2390,1021,976
CITY OF CHICAGO:WARD 13 PRECINCT 24,-26.24,-33.96,-13.78,2.67,4.16,4.32,7,3,3,1908,725,769
CITY OF CHICAGO:WARD 13 PRECINCT 25,-3.67,-18.37,20.53,2.57,4.0,4.0,7,3,3,1807,721,800
CITY OF CHICAGO:WARD 13 PRECINCT 26,3.77,-10.29,29.78,2.74,4.28,4.28,7,3,3,1528,599,674
CITY OF CHICAGO:WARD 13 PRECINCT 27,9.98,-5.52,39.49,2.88,4.43,4.46,7,3,3,1333,553,582
CITY OF CHICAGO:WARD 13 PRECINCT 28,6.31,-11.5,36.52,2.65,4.27,4.06,7,3,3,1661,608,751
CITY OF CHICAGO:WARD 13 PRECINCT 29,-3.42,-16.77,19.2,2.95,4.64,4.61,7,3,3,1372,522,614
CITY OF CHICAGO:WARD 13 PRECINCT 30,-28.38,-47.04,-4.26,2.37,3.65,3.83,7,3,3,2248,962,876
CITY OF CHICAGO:WARD 13 PRECINCT 31,-23.92,-49.04,6.69,3.04,4.75,4.86,7,3,3,1545,616,657
CITY OF CHICAGO:WARD 13 PRECINCT 32,-21.79,-43.17,5.24,2.92,4.54,4.63,7,3,3,1520,643,615
CITY OF CHICAGO:WARD 13 PRECINCT 33,-14.46,-24.5,2.49,2.62,4.14,4.11,7,3,3,1867,751,775
CITY OF CHICAGO:WARD 13 PRECINCT 34,-28.89,-51.13,-1.57,2.31,3.63,3.68,7,3,3,2433,966,999
CITY OF CHICAGO:WARD 13 PRECINCT 35,-26.36,-41.88,-6.54,2.08,3.23,3.29,7,3,3,2876,1144,1231
CITY OF CHICAGO:WARD 13 PRECINCT 36,2.84,-12.54,30.99,2.95,4.53,4.54,7,3,3,1252,517,560
CITY OF CHICAGO:WARD 13 PRECINCT 37,-40.04,-65.68,-13.0,2.44,3.85,3.87,7,3,3,2435,1010,1012
CITY OF CHICAGO:WARD 13 PRECINCT 38,-12.2,-25.73,9.25,3.19,5.15,4.96,7,3,3,1377,480,640
CITY OF CHICAGO:WARD 13 PRECINCT 39,-27.81,-46.4,-4.73,2.48,3.84,4.0,7,3,3,2249,949,879
CITY OF CHICAGO:WARD 13 PRECINCT 40,-28.1,-45.4,-7.38,2.62,4.0,4.29,7,3,3,1955,827,754
CITY OF CHICAGO:WARD 14 PRECINCT 01,22.89,8.75,45.11,2.12,3.37,3.24,7,3,3,2505,956,1144
CITY OF CHICAGO:WARD 14 PRECINCT 02,16.47,0.52,46.78,2.48,3.91,3.86,7,3,3,1955,744,862
CITY OF CHICAGO:WARD 14 PRECINCT 03,29.94,19.19,57.41,2.88,4.55,4.39,7,3,3,1326,510,606
CITY OF CHICAGO:WARD 14 PRECINCT 04,31.08,19.65,52.26,4.76,7.53,7.42,7,3,3,504,200,211
CITY OF CHICAGO:WARD 14 PRECINCT 05,31.87,17.67,65.5,2.37,3.88,3.56,7,3,3,2106,738,973
CITY OF CHICAGO:WARD 14 PRECINCT 06,23.76,11.6,54.86,2.02,3.23,3.1,7,3,3,2827,1034,1270
CITY OF CHICAGO:WARD 14 PRECINCT 07,15.95,-4.62,50.96,2.14,3.28,3.38,7,3,3,2418,1029,989
CITY OF CHICAGO:WARD 14 PRECINCT 08,19.76,4.09,51.31,2.11,3.36,3.23,7,3,3,2539,954,1133
CITY OF CHICAGO:WARD 14 PRECINCT 09,23.51,4.22,57.43,2.13,3.36,3.24,7,3,3,2473,942,1161
CITY OF CHICAGO:WARD 14 PRECINCT 10,30.5,14.39,65.95,2.16,3.4,3.32,7,3,3,2385,943,1033
CITY OF CHICAGO:WARD 14 PRECINCT 11,28.07,17.96,57.59,1.94,3.2,2.9,7,3,3,3103,1046,1458
CITY OF CHICAGO:WARD 14 PRECINCT 12,26.53,10.06,59.97,2.49,3.85,3.77,7,3,3,1685,700,751
CITY OF CHICAGO:WARD 14 PRECINCT 13,12.04,-5.77,41.67,2.06,3.3,3.2,7,3,3,2744,1063,1152
CITY OF CHICAGO:WARD 14 PRECINCT 14,32.83,23.49,60.25,2.75,4.4,4.22,7,3,3,1519,555,697
CITY OF CHICAGO:WARD 14 PRECINCT 15,27.25,12.39,56.97,2.82,4.39,4.3,7,3,3,1366,537,627
CITY OF CHICAGO:WARD 15 PRECINCT 01,-36.14,-50.56,-19.04,2.65,4.16,4.24,7,3,3,2086,822,905
CITY OF CHICAGO:WARD 15 PRECINCT 02,-37.92,-55.87,-18.01,2.51,3.88,4.06,7,3,3,2514,1033,1069
CITY OF CHICAGO:WARD 15 PRECINCT 03,-27.08,-43.73,-6.3,3.77,5.73,6.08,7,3,3,952,383,426
CITY OF CHICAGO:WARD 15 PRECINCT 04,25.04,-4.71,72.7,2.72,4.48,4.05,7,3,3,1624,546,777
CITY OF CHICAGO:WARD 15 PRECINCT 05,37.01,24.27,68.35,2.9,4.65,4.52,7,3,3,1506,519,688
CITY OF CHICAGO:WARD 15 PRECINCT 06,43.24,27.99,78.1,2.55,4.07,3.93,7,3,3,1760,671,764
CITY OF CHICAGO:WARD 15 PRECINCT 07,34.41,23.74,63.38,3.13,5.12,4.74,7,3,3,1189,402,546
CITY OF CHICAGO:WARD 15 PRECINCT 08,22.24,4.45,53.47,2.71,4.29,4.12,7,3,3,1506,570,686
CITY OF CHICAGO:WARD 15 PRECINCT 09,25.74,12.15,57.32,2.6,4.14,3.96,7,3,3,1707,654,766
CITY OF CHICAGO:WARD 15 PRECINCT 10,17.58,15.78,29.62,2.88,4.45,4.49,7,3,3,1374,543,612
CITY OF CHICAGO:WARD 15 PRECINCT 11,30.47,19.73,59.9,2.99,4.86,4.51,7,3,3,1311,474,603
CITY OF CHICAGO:WARD 15 PRECINCT 12,20.85,0.48,54.4,2.71,4.18,4.19,7,3,3,1502,619,663
CITY OF CHICAGO:WARD 15 PRECINCT 13,24.24,17.79,41.83,2.98,4.67,4.44,7,3,3,1213,481,566
CITY OF CHICAGO:WARD 15 PRECINCT 14,27.86,20.78,46.9,3.21,5.05,4.98,7,3,3,1106,422,489
CITY OF CHICAGO:WARD 15 PRECINCT 15,12.42,4.61,21.99,2.94,4.73,4.49,7,3,3,1357,480,623
CITY OF CHICAGO:WARD 15 PRECINCT 16,17.72,19.71,21.25,2.5,3.75,3.92,7,3,3,1713,749,718
CITY OF CHICAGO:WARD 15 PRECINCT 17,5.11,15.95,-8.2,2.14,3.37,3.36,7,3,3,2680,928,1264
CITY OF CHICAGO:WARD 15 PRECINCT 18,-0.56,13.5,-15.73,2.51,3.89,4.01,7,3,3,1915,694,861
CITY OF CHICAGO:WARD 15 PRECINCT 19,0.7,11.06,-13.08,3.13,5.12,4.78,7,3,3,1313,395,662
CITY OF CHICAGO:WARD 15 PRECINCT 20,33.1,18.17,65.19,2.65,4.2,4.03,7,3,3,1612,621,733
CITY OF CHICAGO:WARD 16 PRECINCT 01,-4.44,11.49,-25.63,2.28,3.66,3.52,7,3,3,2380,778,1173
CITY OF CHICAGO:WARD 16 PRECINCT 02,-2.95,5.2,-15.14,3.0,4.53,4.71,7,3,3,1195,507,512
CITY OF CHICAGO:WARD 16 PRECINCT 03,-1.99,14.51,-19.72,2.68,4.29,4.14,7,3,3,1712,572,836
CITY OF CHICAGO:WARD 16 PRECINCT 04,-11.58,0.69,-32.66,3.12,5.0,4.81,7,3,3,1267,414,627
CITY OF CHICAGO:WARD 16 PRECINCT 05,-1.49,14.09,-21.17,2.18,3.47,3.34,7,3,3,2480,869,1205
CITY OF CHICAGO:WARD 16 PRECINCT 06,2.07,16.73,-14.81,2.28,3.57,3.56,7,3,3,2243,817,1040
CITY OF CHICAGO:WARD 16 PRECINCT 07,7.94,16.49,1.66,3.01,4.69,4.69,7,3,3,1251,468,574
CITY OF CHICAGO:WARD 16 PRECINCT 08,0.04,14.19,-12.39,3.51,5.76,5.23,7,3,3,961,317,471
CITY OF CHICAGO:WARD 16 PRECINCT 09,-7.2,5.73,-27.18,2.29,3.59,3.55,7,3,3,2279,819,1084
CITY OF CHICAGO:WARD 16 PRECINCT 10,-7.74,3.7,-24.35,2.63,4.18,4.06,7,3,3,1854,604,943
