joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,demo_est_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,score_pp,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,final_est_Jamal Green,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King,win_prob_Jamal Green,median_pct_Jamal Green,median_votes_Jamal Green
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.0,0.3502874301739905,0.002821453182734593,0.331982245866672,0.0,0.20402495693989114,0.0,0.0020619430268693645,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,36.23,2143.8488,0.0,0.4109117321274011,0.0022188980331522383,0.38387040161141095,0.0,0.24469832768799965,0.0005928177694155407,0.003563444741401028,0.0,1.1554436052900542e-05,0.0011554436052900543,0.73678,0.3687358092816003,36.87358092816003,0.0,0.002122578974354727,0.21225789743547271,0.26322,0.34455575036377795,34.455575036377795,0.0,0.0,0.0,0.0,0.21902415836429767,21.902415836429768,0.0,0.0003587185604708127,0.03587185604708127,0.0,0.0036253423050260783,0.36253423050260786
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.0,0.35145812244786145,0.0020008360441581066,0.34311205817362256,0.0,0.19085857425299715,0.0,0.0024796652693006797,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,34.72,2256.8924,0.0,0.4115116120934568,0.0011751372646070105,0.3960639957219061,0.0,0.23023743551764525,0.0009775214131228487,0.004431581120605229,0.0,0.00012336275339485333,0.012336275339485333,0.64102,0.36939503613388824,36.93950361338882,0.0,0.0009989749865412672,0.09989749865412673,0.35898,0.3557459419053479,35.57459419053479,0.0,0.0,0.0,0.0,0.2066068342094704,20.66068342094704,0.0,0.001371899721031829,0.1371899721031829,0.0,0.004338371421165084,0.4338371421165084
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.0,0.35301935825613306,0.0014645624336552115,0.3735290624883475,0.0,0.15798227579791754,0.0,0.003321485625970679,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,31.44,2080.7738,0.0,0.41229265909437224,0.0,0.43140142111918045,0.0,0.19218795718423337,0.001627027376658114,0.006162034723583157,0.0,3.135982782427969e-05,0.003135982782427969,0.32598,0.37072381984890423,37.07238198489043,0.0,0.0,0.0,0.67402,0.3877196713926929,38.77196713926929,0.0,0.0002156370646665226,0.02156370646665226,0.0,0.17288559638264966,17.288559638264967,0.0,0.0016428042077511118,0.16428042077511118,0.0,0.005281957453991617,0.5281957453991617
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.0,0.3318407889319788,0.0,0.32302102342419714,0.0,0.24453028758189313,0.0,0.000600571122513811,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,46.06,2293.3597,0.0,0.3907322032420544,0.0,0.3743199694877415,0.0,0.2912747028711409,0.0,0.0004252993969392164,0.0,0.0002418966322798368,0.02418966322798368,0.6478,0.34586700117313796,34.5867001173138,0.0,0.0004895694312507275,0.048956943125072754,0.35004,0.3313691183268668,33.13691183268668,0.0,0.00035505343336942496,0.035505343336942496,0.00216,0.25765638099915666,25.765638099915666,0.0,0.0,0.0,0.0,0.0005760961847745982,0.057609618477459816
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.0,0.3415036387409731,0.0,0.3278975754545107,0.0,0.22699394905220632,0.0,0.0017228470073167405,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,40.66,2231.3978,0.0,0.4003097513378437,0.0,0.3788671266526703,0.0,0.2725505101801356,0.0,0.002627592326323678,0.0,0.0003752745986039184,0.03752745986039184,0.69182,0.35566552665853957,35.566552665853955,0.0,1.647020110469515e-05,0.001647020110469515,0.308,0.33660672003171543,33.66067200317154,0.0,0.0,0.0,0.00018,0.24203603129798315,24.203603129798314,0.0,7.552162260124031e-06,0.0007552162260124031,0.0,0.0021875169887892046,0.21875169887892046
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.0,0.34004852016191345,0.02816408939111019,0.374781507587468,0.0,0.12045656405825847,0.0029799627390547714,0.006057801881807219,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,26.04,1986.2087,0.0,0.3983366879321075,0.030565268497919428,0.4325761222406107,0.0,0.14559262102236825,0.006531571496170681,0.010615375947788608,0.0,0.0,0.0,0.21192,0.369706917542704,36.970691754270405,0.0,0.028343851841333447,2.8343851841333447,0.78808,0.4018138880895993,40.18138880895993,0.0,8.641372186122458e-05,0.008641372186122457,0.0,0.1346503415777523,13.46503415777523,0.0,0.006093585766279025,0.6093585766279025,0.0,0.009775540087970998,0.9775540087970997
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.0,0.33214422409515904,0.008462367204128948,0.31638889394163594,0.0,0.23298007748200494,0.0,0.001410275129135722,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,42.9,2843.327,0.0,0.39080481846705817,0.00970372190920335,0.366430137783778,0.0,0.2779919690869234,0.0,0.0016289935620845929,0.0,7.259310964327347e-05,0.007259310964327347,0.71492,0.3509722945717746,35.09722945717746,0.0,0.009122033260098113,0.9122033260098114,0.28404,0.32888415924648384,32.888415924648385,0.0,0.0,0.0,0.00104,0.249371182692044,24.9371182692044,0.0,0.0,0.0,0.0,0.0012308209462611078,0.12308209462611078
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.0,0.36679896567372205,0.007944473562599315,0.3372444710262894,0.0,0.16644349978038658,0.001972859038075238,0.005141066970221427,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,28.67,2058.5922,0.0,0.42834418183685385,0.007548083907862945,0.38919679373986893,0.0,0.1999148781538157,0.004993023408145272,0.009115723120888763,0.0,3.485244074386034e-05,0.003485244074386034,0.82442,0.38911594933314597,38.911594933314596,0.0,0.006905740775484527,0.6905740775484527,0.17558,0.35335925081542646,35.33592508154265,0.0,1.0031507728471817e-05,0.0010031507728471818,0.0,0.18144655920414304,18.144655920414305,0.0,0.004184744311933196,0.4184744311933196,0.0,0.008193652045861002,0.8193652045861002
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.0,0.34181508135417993,0.011393538117499949,0.4057208375412932,0.0,0.11164416636003066,0.0012447663859378177,0.005402230440771812,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,25.91,1632.3935,0.0,0.3969855327015204,0.009901895292060547,0.46544250477912796,0.0,0.1415589114444332,0.005232387719781014,0.010697954762334531,0.0,0.000135632266689877,0.0135632266689877,0.05254,0.3640407486896298,36.40407486896298,0.0,0.009401829423506432,0.9401829423506431,0.94746,0.42705467901466104,42.70546790146611,0.0,3.515029063094281e-05,0.003515029063094281,0.0,0.12941952030777382,12.941952030777381,0.0,0.004738835123812436,0.4738835123812436,0.0,0.009877047656910238,0.9877047656910238
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.0,0.33629587372797265,0.02210610514354526,0.4123092093576791,0.005486814350663824,0.08043338522809153,0.004647131242297948,0.010959986282637044,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,18.79,2532.8711,0.0,0.38819131192107015,0.02076326235461965,0.4706295118673035,0.0023636871323302923,0.10421677675001825,0.012962477482916478,0.02081136651731788,0.0,0.0,0.0,0.02712,0.3630015557354277,36.30015557354277,0.0,0.01967757809893692,1.9677578098936919,0.97288,0.439945530023017,43.9945530023017,0.0,0.0024482772915072086,0.24482772915072085,0.0,0.09734004142667879,9.73400414266788,0.0,0.012031378224127542,1.2031378224127542,0.0,0.019868301205741953,1.9868301205741952
CITY OF CHICAGO:Ward 01 Precinct 11,100.0,0.0,0.3500897405296621,0.004523233099116973,0.34826720840815806,0.0,0.18322996436283415,0.0,0.003173196575576657,0.06730941127080987,0.26685576342833045,0.5822825744425842,0.04362312180956836,34.1,2690.0161,0.0,0.4103464316621235,0.0041818721305031965,0.402870393924889,0.0,0.2200549968990966,0.0009473906511332595,0.0051125817812747425,0.0,0.0,0.0,0.56854,0.36943322937119416,36.94332293711942,0.0,0.0036330603897515726,0.3633060389751573,0.43146,0.3628724319851092,36.28724319851092,0.0,5.011577570870127e-05,0.005011577570870127,0.0,0.19753273595654627,19.753273595654626,0.0,0.0011381613707131776,0.11381613707131776,0.0,0.004729013346918314,0.47290133469183143
CITY OF CHICAGO:Ward 01 Precinct 12,100.0,0.0,0.3704192912866758,0.025243067872237804,0.3290675321565226,0.0,0.14269739009915766,0.0034868215960434466,0.007763908876021412,0.06897546310949022,0.13426301470773916,0.656855553235561,0.10239975137635658,25.49,1136.4969,0.0,0.42924500835009394,0.025829610236800894,0.37685328674195206,0.0,0.17672875228012233,0.008560981713176305,0.013753453330068301,0.0,0.00033216309509273003,0.033216309509273005,0.89098,0.3960764910737291,39.60764910737291,0.0,0.02376623057750577,2.376623057750577,0.10902,0.34754059041313146,34.75405904131315,0.0,0.0,0.0,0.0,0.16272142765706737,16.272142765706736,0.0,0.007947308767015333,0.7947308767015333,0.0,0.012980360623599689,1.298036062359969
CITY OF CHICAGO:Ward 01 Precinct 13,100.0,0.0,0.3840921760682765,0.026479627078026813,0.3299489043118421,0.0,0.11833598223847713,0.00521002763853963,0.01175542921234355,0.027799271961562656,0.13161379097455586,0.7306618838184052,0.0819829435325781,20.4,1451.297,0.0,0.4422165434791526,0.025172024965711998,0.3764570731192288,0.0,0.14856281363796248,0.013698069387749007,0.02142028157633397,0.0,0.0002605722811808384,0.026057228118083843,0.93836,0.4108004317266664,41.08004317266664,0.0,0.023425350223186835,2.3425350223186836,0.06164,0.3498255562474596,34.982555624745956,0.0,0.00017864622471060513,0.017864622471060514,0.0,0.13780513974586533,13.780513974586533,0.0,0.01272403787548065,1.272403787548065,0.0,0.020288700343392863,2.0288700343392865
CITY OF CHICAGO:Ward 01 Precinct 14,100.0,0.0,0.3065442411417127,0.09482623089267,0.24592046768699613,0.057312086052679706,0.03506979903442329,0.021947751033697095,0.03157760198082531,0.10300737609119885,0.13652921068866164,0.65907619654343,0.043935526250168264,9.47,1826.6721,0.0,0.34930637526070396,0.09715915317282074,0.272486387590292,0.06237903999103357,0.05998209909232316,0.044351587518153636,0.055233423890366076,0.0,0.00014746898499224667,0.014746898499224666,0.96394,0.36422490185639644,36.422490185639646,0.0,0.10126017991221792,10.126017991221792,0.03606,0.283993581071321,28.3993581071321,0.0,0.06489579347518959,6.4895793475189585,0.0,0.06222579507299657,6.222579507299657,0.0,0.04643676843174491,4.64367684317449,0.0,0.05780898255886201,5.780898255886201
CITY OF CHICAGO:Ward 01 Precinct 15,100.0,0.0,0.32498864061204025,0.055779488747034395,0.3102392911362354,0.03728864686632598,0.0485563116471164,0.01580586484109557,0.025510758666728552,0.05154508858656792,0.16447394493940018,0.6932514812007323,0.06110777962460239,11.26,2381.9864,0.0,0.3715939957470388,0.05491060102557788,0.3462667175106877,0.03870721459580047,0.07351064655578475,0.03480380725478101,0.04607590851959487,0.0,0.0,0.0,0.72544,0.37590361807433664,37.590361807433666,0.0,0.055473283079391617,5.5473283079391615,0.27456,0.350010045374565,35.001004537456495,0.0,0.03922863007592441,3.9228630075924413,0.0,0.07460623889854494,7.460623889854494,0.0,0.03487953272234934,3.487953272234934,0.0,0.046674602818224394,4.667460281822439
CITY OF CHICAGO:Ward 01 Precinct 16,100.0,0.0,0.34258070577435573,0.03257246690487875,0.3764621543989677,0.017029484112356677,0.06507877671489956,0.00999133745480247,0.017541320818500968,0.030146723991877525,0.22704360970576648,0.6376999969116848,0.034707854704923914,14.51,2412.3185,0.0,0.3923687165047997,0.029513307710964998,0.42467559501301755,0.015463977023183563,0.0902114946269027,0.02377303992562626,0.032950004066955904,0.0,0.0,0.0,0.2254,0.3758763750159101,37.58763750159101,0.0,0.02831581560593179,2.831581560593179,0.7746,0.40686454828020147,40.686454828020146,0.0,0.015151258283405031,1.5151258283405031,0.0,0.08615349189834037,8.615349189834037,0.0,0.023019008189717062,2.3019008189717063,0.0,0.031191421611766405,3.1191421611766406
