joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,demo_est_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,score_pp,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,final_est_Jamal Green,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King,win_prob_Jamal Green,median_pct_Jamal Green,median_votes_Jamal Green
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.0,0.3428776660233035,0.0016091669502898698,0.327524088967223,0.0,0.22251909449486734,0.0008540097277051472,0.002222106263377195,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,36.23,2143.8488,0.0,0.3998247839570096,0.0013910005015128103,0.37866282376439864,0.0,0.26932096976433556,0.0015931788326204194,0.0037879546052283115,0.0,1.1467853706604433e-05,0.0011467853706604433,0.68938,0.3559846700980923,35.598467009809234,0.0,0.0013539644346450067,0.13539644346450067,0.31044,0.33727448129042736,33.727448129042735,0.0,0.0,0.0,0.00018,0.23925400122813462,23.92540012281346,0.0,0.0012485990104801168,0.12485990104801167,0.0,0.0038075022913214725,0.38075022913214723
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.0,0.34308978028538706,0.0006857618319020195,0.3377827810086325,0.0,0.2109685512617318,0.0009382040616784451,0.0026390470771159684,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,34.72,2256.8924,0.0,0.3994839310511335,0.000266129613538839,0.38994881656683933,0.0,0.25653765187015704,0.002032954647388752,0.004631469796903452,0.0,0.000122451913538549,0.0122451913538549,0.58698,0.355939561578967,35.5939561578967,0.0,0.00016097027998575412,0.016097027998575413,0.413,0.3476239045557184,34.76239045557184,0.0,0.0,0.0,2e-05,0.22845512534094603,22.845512534094603,0.0,0.0023134039830228458,0.2313403983022846,0.0,0.0044815487035721295,0.44815487035721296
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.0,0.342787333467399,0.0,0.3661818643055493,0.0,0.18137641262010043,0.0008197512576416342,0.003493844638775263,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,31.44,2080.7738,0.0,0.39819465824365263,0.0,0.42285688621842843,0.0,0.2224956816331172,0.0025124070313649605,0.00630074518569726,0.0,3.1146352697788336e-05,0.0031146352697788335,0.28156,0.35541084771065706,35.541084771065705,0.0,0.0,0.0,0.71844,0.3772114009205287,37.72114009205287,0.0,0.00021403544929884282,0.02140354492988428,0.0,0.19867602968118508,19.867602968118508,0.0,0.002439607570240922,0.2439607570240922,0.0,0.005367219578689283,0.5367219578689283
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.0,0.32770223315937463,0.0,0.32024401885172454,0.0,0.2589057832389492,0.0,0.0007305707703910078,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,46.06,2293.3597,0.0,0.38341349293661586,0.0001430750542406288,0.37101096856167615,0.0,0.3107726707128496,0.0,0.0007482233522096982,0.0,0.00023982598770792493,0.023982598770792493,0.60572,0.33660613221092195,33.66061322109219,0.0,0.0006161964420483108,0.06161964420483108,0.37966,0.32578372954566737,32.57837295456674,0.0,0.0003523753332402592,0.03523753332402592,0.01462,0.27283002101585685,27.283002101585684,0.0,0.0,0.0,0.0,0.0008593692348263241,0.0859369234826324
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.0,0.33629929384665846,0.0,0.32459350479298793,0.0,0.24247362176350312,0.0,0.0018641393872944403,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,40.66,2231.3978,0.0,0.3919658971244485,0.0,0.3751579383470788,0.0,0.2930549871288679,0.00013829635312574348,0.0029135226025674907,0.0,0.0003722919635036325,0.037229196350363244,0.65198,0.34551566607567313,34.55156660756732,0.0,1.6342986335829106e-05,0.0016342986335829107,0.34604,0.3307637081660781,33.076370816607806,0.0,0.0,0.0,0.00198,0.2582879564328514,25.82879564328514,0.0,0.00013271848121470828,0.01327184812147083,0.0,0.0024317996547575434,0.24317996547575435
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.0,0.32836310181210504,0.025039323339890618,0.36773704237403576,0.0013360875124401386,0.14454564032054018,0.005715210844326787,0.006290447921051878,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,26.04,1986.2087,0.0,0.3824075190513308,0.02756618114845115,0.4241648933818154,0.0,0.17783235386772023,0.009250874466522556,0.01068268591368672,0.0,0.0,0.0,0.16378,0.3525617624218351,35.256176242183514,0.0,0.025404714197910246,2.5404714197910248,0.83622,0.3914081818771594,39.140818187715944,0.0,8.592174862359053e-05,0.008592174862359053,0.0,0.16345887788469765,16.345887788469764,0.0,0.008556155069115202,0.8556155069115202,0.0,0.009773325849162538,0.9773325849162539
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.0,0.32775941351105753,0.007433417211013635,0.31379475609935353,0.0,0.24760768798885976,7.895924399470983e-06,0.001529983355700159,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,42.9,2843.327,0.0,0.38319797079082274,0.008963006913316737,0.3633662388700982,0.0,0.2979148751753257,0.0,0.0019175896935527802,0.0,7.200780901805126e-05,0.007200780901805126,0.6733,0.34139222861590934,34.13922286159094,0.0,0.008395570670743296,0.8395570670743295,0.3188,0.323519750577252,32.3519750577252,0.0,0.0,0.0,0.0079,0.26518978971719265,26.518978971719264,0.0,0.0,0.0,0.0,0.0014862727088970956,0.14862727088970956
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.0,0.356941587733275,0.006108868919517639,0.33236297638695406,0.0,0.18619844858570248,0.004336701055634209,0.005377637227639403,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,28.67,2058.5922,0.0,0.41436134524754337,0.006067237359714605,0.3834628264045289,0.0,0.22676838473978705,0.0073605690086118135,0.009248171458422272,0.0,3.4518602134888036e-05,0.0034518602134888036,0.76982,0.37377519205726156,37.37751920572616,0.0,0.005530450236503191,0.5530450236503192,0.23018,0.3456842982492262,34.56842982492262,0.0,9.962535896953024e-06,0.0009962535896953025,0.0,0.20442785327098822,20.44278532709882,0.0,0.006323174794708021,0.6323174794708021,0.0,0.008249244510476011,0.8249244510476011
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.0,0.3298331364023428,0.00904205498123984,0.39718857125899726,0.0,0.1366117477257388,0.004135901457183268,0.005642818751184183,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,25.91,1632.3935,0.0,0.38147248265504924,0.008038333367410444,0.4558917477835188,0.0,0.17324786344378937,0.008066088835121672,0.010809378146652938,0.0,0.00013461507545611966,0.013461507545611966,0.03882,0.34749885054625507,34.74988505462551,0.0,0.007663416011119913,0.7663416011119913,0.96118,0.41552865297206265,41.55286529720627,0.0,3.486405553017795e-05,0.0034864055530177953,0.0,0.1574177495277463,15.741774952774628,0.0,0.0073184228293538475,0.7318422829353848,0.0,0.00992455946303801,0.992455946303801
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.0,0.3232775146577823,0.018791787258513437,0.4049712315886798,0.009841081816921109,0.1009744983345766,0.009718026583860773,0.011452713884056064,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,18.79,2532.8711,0.0,0.37170845389640567,0.01792164219482636,0.4625246367664928,0.006306273287424283,0.1315806799067693,0.017821153265747996,0.020965323703594687,0.0,0.0,0.0,0.01622,0.345564947805993,34.5564947805993,0.0,0.016930658690928267,1.6930658690928266,0.98378,0.4298718626626372,42.98718626626372,0.0,0.006138230073349127,0.6138230073349127,0.0,0.12220881389843072,12.220881389843072,0.0,0.016465044090040522,1.6465044090040521,0.0,0.019910191748533486,1.9910191748533486
