joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,pct_black,pct_hispanic,pct_white,pct_asian,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,2143.8488,0.038341205212742265,0.0,0.001982740895301989,0.04077849886424253,0.0,0.01767885053971479,0.015754114879387326,0.306,0.2215943412220724,22.159434122207237,0.03674,0.0,0.0,0.06662,0.011599756939073176,1.1599756939073176,0.30396,0.23147855315951982,23.147855315951983,0.06084,0.0003988134474512023,0.03988134474512023,0.1018,0.10291980822024849,10.291980822024849,0.12404,0.09200394548322671,9.200394548322672
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,2256.8924,0.03660614253883396,0.0,0.00106125377953269,0.04313581246598591,0.0,0.017481343907984365,0.01569307096455732,0.2854,0.21075775540084724,21.075775540084724,0.0357,0.00018217580768595736,0.018217580768595736,0.06238,0.0035474684325231603,0.35474684325231604,0.3325,0.24576101688908142,24.576101688908143,0.06034,0.0006362566054426064,0.06362566054426064,0.09532,0.1015369991324925,10.15369991324925,0.12836,0.0936187501234659,9.36187501234659
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,2080.7738,0.03331805034379993,0.0,0.0,0.0526082408973262,0.00042412207132757826,0.01600176415842041,0.01445751498956524,0.23126,0.18587398146286221,18.587398146286223,0.02852,0.0,0.0,0.05584,0.0,0.0,0.4346,0.2916560102407014,29.165601024070142,0.05674,0.0030276767747566763,0.30276767747566763,0.0815,0.09486516829276728,9.486516829276729,0.11154,0.0828409264102641,8.28409264102641
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,2293.3597,0.03138934137478223,0.0,0.0,0.05327044954162192,0.0018476243760751597,0.015663086399132102,0.014323695827444333,0.2186,0.17761490065628602,17.761490065628603,0.0311,0.0023313340930011042,0.23313340930011042,0.0576,9.24139765282767e-05,0.009241397652827669,0.44434,0.29578287816736515,29.578287816736516,0.05974,0.010290627510585555,1.0290627510585555,0.07786,0.09081389505081117,9.081389505081116,0.11076,0.08380862740746661,8.380862740746661
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,2231.3978,0.034661784318578304,0.0,4.956838889619286e-05,0.04377301470335854,0.0,0.01808687972891343,0.01644246089759558,0.26892,0.20044435026613117,20.044435026613115,0.0367,0.0006127712353986758,0.061277123539867584,0.06046,0.0019938644002825525,0.19938644002825526,0.33946,0.24990725305960174,24.990725305960172,0.06204,0.0021976471736191963,0.21976471736191963,0.10354,0.10963838481626195,10.963838481626196,0.12888,0.09475233532546777,9.475233532546778
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,1986.2087,0.032653974073702845,0.0,0.003692363551597494,0.048354465168537475,0.0036692156201926125,0.01448691944491022,0.013219681295718051,0.24046,0.18680544596955745,18.680544596955745,0.0339,0.0,0.0,0.0725,0.0218569412647462,2.18569412647462,0.39062,0.2705985130662162,27.059851306621617,0.06986,0.023640058312959178,2.364005831295918,0.08046,0.08427146190364085,8.427146190364084,0.1122,0.07743295733722394,7.743295733722394
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,2843.327,0.03312099369521501,0.0,0.004390991478861749,0.0419034844216847,0.0025021076325123827,0.016796166311191144,0.015449279547601953,0.25904,0.1921404424581356,19.21404424581356,0.03762,0.0010359936465615764,0.10359936465615764,0.07506,0.02507841148313799,2.507841148313799,0.32752,0.24102305882921932,24.102305882921932,0.07198,0.01685774951079721,1.6857749510797209,0.09886,0.09863141042361961,9.863141042361962,0.12992,0.09178200561331953,9.178200561331954
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,2058.5922,0.040190099367576664,0.0,0.002854815992704089,0.0392233091232321,0.0,0.017541749834020855,0.015475240638666864,0.3243,0.2316130438507516,23.16130438507516,0.0383,0.0,0.0,0.07038,0.019296737992333786,1.9296737992333786,0.28196,0.22287139170155928,22.28713917015593,0.06156,0.0,0.0,0.10116,0.1014245628710679,10.14245628710679,0.12234,0.0917395408122792,9.173954081227919
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,1632.3935,0.029068998414052034,0.0,0.0,0.05357490230476082,0.0030077055779037173,0.016024450849190117,0.014923208377055922,0.20222,0.1646058544683569,16.46058544683569,0.03206,0.003223640543196463,0.32236405431964626,0.0564,0.0009627622100421172,0.09627622100421172,0.45392,0.2983409430305165,29.83409430305165,0.06518,0.018798150541698776,1.8798150541698775,0.07896,0.09295862517708314,9.295862517708315,0.11126,0.08538798151768351,8.53879815176835
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,2532.8711,0.03346446576735137,0.0,0.0,0.05120668347247067,0.0008533588316376947,0.01586730610712004,0.014349632276455485,0.24192,0.18996765096672552,18.99676509667255,0.0328,0.00019600708489312752,0.01960070848931275,0.0582,0.00038920206300360223,0.03892020630036022,0.4138,0.2838830296870216,28.388302968702163,0.05918,0.00545479603741209,0.5454796037412091,0.08018,0.09242523656002576,9.242523656002575,0.11392,0.08268924714719428,8.268924714719429
