joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,demo_est_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,final_est_Jamal Green,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King,win_prob_Jamal Green,median_pct_Jamal Green,median_votes_Jamal Green
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.33884690736289813,0.15198734128837776,0.13770817359919504,0.13276742455384138,0.037563966676343194,0.022328681674058416,0.0177534017839003,0.0003788641563025633,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,2143.8488,0.37497816547177343,0.1675153092671893,0.14824658237708993,0.14305458199437115,0.0415777827065386,0.033360492164199874,0.027234545674606675,0.009259847944221276,1.0,0.38879381888770137,38.87938188877014,0.0,0.17314420784108825,17.314420784108826,0.0,0.15342803730982454,15.342803730982455,0.0,0.14829066834792104,14.829066834792105,0.0,0.04289435117751864,4.289435117751864,0.0,0.03406748965549791,3.406748965549791,0.0,0.028195824223544205,2.8195824223544204,0.0,0.010176233114609155,1.0176233114609154
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.3229947655738321,0.150639398555435,0.1365766588340637,0.15068262681605768,0.039638133741374995,0.021600891757926705,0.016648703848443303,0.0005535819677831578,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,2256.8924,0.35720866381877864,0.16598630572376263,0.14697977032228934,0.16290595295423047,0.043590677078722315,0.03275597889896389,0.026197302346907272,0.009602656456335474,0.99972,0.369558387900807,36.9558387900807,0.00014,0.17155991695810308,17.155991695810307,4e-05,0.1518939877517822,15.18939877517822,0.0001,0.1686401123856852,16.86401123856852,0.0,0.04500939615644392,4.500939615644392,0.0,0.034253661252481186,3.4253661252481185,0.0,0.027786714698186048,2.7786714698186046,0.0,0.010385872763994872,1.0385872763994872
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.28856719775760087,0.1479364094982084,0.12872464972795752,0.21072511063185084,0.030324154062438657,0.019693377659085107,0.013363861757775238,0.0,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,2080.7738,0.3194640319821027,0.16308694431308599,0.1385193825292977,0.2291824600331008,0.0335852754632009,0.030439900135502053,0.022313493534214787,0.008635819609485056,0.95734,0.3292533298716137,32.92533298716137,0.00066,0.1684179139755006,16.84179139755006,0.00012,0.14278058460153592,14.278058460153591,0.04188,0.23615099977634607,23.615099977634607,0.0,0.0348906540878407,3.48906540878407,0.0,0.03171743911371197,3.171743911371197,0.0,0.023258777741346378,2.325877774134638,0.0,0.008616386548033917,0.8616386548033917
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.27351548598967235,0.14921085556576222,0.1269682502417616,0.2163691924732206,0.04021805951158319,0.020157640723798078,0.012812980415829232,8.229617328965753e-05,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,2293.3597,0.30233188881006245,0.16434417006222501,0.1368589498538826,0.23589666649959382,0.04403638697085436,0.030939503147487994,0.021861928665750797,0.00895781359013326,0.89644,0.31267687533285915,31.267687533285915,0.00148,0.16946430064806978,16.94643006480698,0.00044,0.14171760456814997,14.171760456814997,0.10164,0.24352294834700905,24.352294834700906,0.0,0.04595784413537825,4.5957844135378245,0.0,0.0319546982280688,3.1954698228068796,0.0,0.022292325498191067,2.229232549819107,0.0,0.009549377512536632,0.9549377512536632
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.2989348895291398,0.15632239357044742,0.1331633445985056,0.17893301754043023,0.03305912987858634,0.022618710031857562,0.016014662123872103,0.0002886138220775548,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,2231.3978,0.33064131451327183,0.17133292077741907,0.14317182113866309,0.19250095085357208,0.036967400390908324,0.0344322538367858,0.026146662765415864,0.010033983323954023,0.99424,0.34249495866627466,34.24949586662747,0.00106,0.176981868186308,17.698186818630802,0.00014,0.147812752359062,14.7812752359062,0.00456,0.19895405835569469,19.89540583556947,0.0,0.03827371574247315,3.8273715742473153,0.0,0.03588408488559684,3.588408488559684,0.0,0.027148738828206533,2.7148738828206533,0.0,0.010297696108892751,1.029769610889275
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.2893244127221073,0.14593534280512974,0.13723214353219396,0.1685603038935202,0.0562839221780668,0.01981879669595583,0.016703174839686318,0.0054766644282566055,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,1986.2087,0.32033748727277195,0.16194690913387902,0.14806912804664346,0.18432998904112038,0.06193210104217166,0.02961711713671141,0.025197498972903035,0.01379707695378921,0.99306,0.3325917130842181,33.259171308421806,0.00104,0.1679949643386192,16.799496433861922,0.00068,0.153509266296054,15.3509266296054,0.00522,0.19117428160653288,19.117428160653287,0.0,0.06422679233419332,6.4226792334193314,0.0,0.03059258243938339,3.059258243938339,0.0,0.026310812307692014,2.6310812307692015,0.0,0.01430312545179721,1.4303125451797212
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.2909853770181099,0.151859676047763,0.1393885839270203,0.1574647263688904,0.05316169085575856,0.0215079106453771,0.018524229396152246,0.0064425668358450375,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,2843.327,0.3216218768775536,0.16744232130237913,0.15006977701220062,0.17016139610559353,0.05888155963302248,0.032660099887447884,0.02834397903540717,0.016046297746385486,0.99602,0.33482266332076416,33.482266332076414,0.0016,0.1739092922023336,17.39092922023336,0.00056,0.1561620613087668,15.61620613087668,0.00182,0.17675600891109208,17.67560089110921,0.0,0.06115539621163046,6.1155396211630455,0.0,0.033975173111602905,3.3975173111602905,0.0,0.029481678800217258,2.948167880021726,0.0,0.0164811562355702,1.64811562355702
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.3402012187981588,0.15808748778894896,0.1331443115810036,0.12894023969244683,0.034428897346132,0.023924148136596168,0.019727794647416627,0.0008806631042135718,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,2058.5922,0.3784843374944547,0.17386518258330375,0.14387388405939852,0.13760704600148368,0.03847565653200506,0.034615797214831566,0.0289289621473673,0.009376441567145323,0.99996,0.39233308934439587,39.233308934439584,4e-05,0.18010338496536943,18.010338496536942,0.0,0.14868721324197282,14.868721324197281,0.0,0.14222970470602608,14.222970470602608,0.0,0.039875024279513276,3.9875024279513274,0.0,0.0359789915111628,3.5978991511162803,0.0,0.0296926052414609,2.96926052414609,0.0,0.009643712840279099,0.9643712840279098
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.26837354780083067,0.14821199269575736,0.12829305105070116,0.22042286505643358,0.04072652808841869,0.018540396985554215,0.014313155316953995,0.00045322410026696174,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,1632.3935,0.29430618680893494,0.1632779966546999,0.13740491580724187,0.2412770583259883,0.044992941948337806,0.029898227989752987,0.023965184297833633,0.01010479576720055,0.84372,0.3048116418976564,30.481164189765643,0.00124,0.1686004353146235,16.86004353146235,0.00058,0.14237006898238116,14.237006898238116,0.15446,0.2494751827318377,24.947518273183768,0.0,0.04653654669023443,4.653654669023443,0.0,0.03091660369739931,3.0916603697399307,0.0,0.024863216194039073,2.4863216194039075,0.0,0.010545727034359558,1.0545727034359558
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.2916277242370441,0.14884315697505512,0.12929424600183959,0.1976692353537128,0.03727451344482629,0.01994192185833501,0.01468396322410395,0.0,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,2532.8711,0.32280378020809547,0.16415325371640602,0.13929331196407815,0.2152128097798869,0.04097823529463901,0.03056463559414433,0.02360523290533373,0.008616048137406646,0.97982,0.3337698253759942,33.37698253759942,0.00086,0.16915964589575544,16.915964589575545,0.00014,0.14414663456006882,14.414663456006881,0.01918,0.22203152824476874,22.203152824476874,0.0,0.04262978986797225,4.262978986797225,0.0,0.03157453918418711,3.1574539184187107,0.0,0.0242436638801969,2.42436638801969,0.0,0.009290924169544766,0.9290924169544766
