joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,demo_est_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,score_pp,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,final_est_Jamal Green,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King,win_prob_Jamal Green,median_pct_Jamal Green,median_votes_Jamal Green
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.0,0.3481722194295547,0.21157583834850963,0.3022127345026699,0.0,0.016394442023728847,0.0018447287264895535,0.0,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,36.23,2143.8488,0.0,0.3807392817384454,0.2238773752833276,0.32465214143146215,0.0,0.02493211908782046,0.01036776711544957,0.004976544568688471,0.0,1.2750733996908656e-05,0.0012750733996908655,0.90298,0.3712620564025223,37.12620564025223,0.00106,0.21820853573515608,21.82085357351561,0.09596,0.31657445765102193,31.657445765102192,0.0,0.0,0.0,0.0,0.023929593042848155,2.3929593042848154,0.0,0.010050655779170414,1.0050655779170414,0.0,0.00537346321999649,0.537346321999649
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.0,0.3346807257284775,0.2053663737362292,0.3128475344402988,0.0,0.015181806603015355,0.0020272415620511495,0.0,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,34.72,2256.8924,0.0,0.3660960208909281,0.2170013632499614,0.3369060133904164,0.0,0.023753036654739264,0.010582044656377586,0.005011693303244313,0.0,0.00013205995861312095,0.013205995861312094,0.75266,0.3601577018127736,36.01577018127736,0.00064,0.2133072579312797,21.330725793127968,0.2467,0.33152405472392865,33.152405472392864,0.0,0.0,0.0,0.0,0.023701417256321466,2.3701417256321466,0.0,0.011023664683161228,1.1023664683161227,0.0,0.005342228038136736,0.5342228038136736
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.0,0.31623969736364077,0.18597101858063245,0.37212681974248546,0.0,0.011681877741829237,0.0017925438867247264,0.0,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,31.44,2080.7738,0.0,0.3452109949029777,0.19535133749470318,0.4010494446650932,0.0,0.02018934570185725,0.010311217399904815,0.0049697189758171785,0.0,3.3094701702035655e-05,0.0033094701702035653,0.09518,0.33354223812492423,33.35422381249242,2e-05,0.18858475074032022,18.85847507403202,0.9048,0.38732295624093127,38.732295624093126,0.0,0.00023522995477442816,0.023522995477442816,0.0,0.019788007804541874,1.9788007804541874,0.0,0.010184409777866582,1.0184409777866583,0.0,0.004501123434995993,0.45011234349959933
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.0,0.3378189191439984,0.18346950160635636,0.392530057477919,0.0,0.017823063519134343,0.0014960945242139074,0.0,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,46.06,2293.3597,0.0,0.3700937384919478,0.1940127128973113,0.4251002019554093,0.0,0.0241141687194858,0.007748234415055993,0.002719379987920474,0.0,0.0002521022107358434,0.02521022107358434,0.09808,0.3415692276304264,34.156922763042644,0.0,0.1793730887308852,17.93730887308852,0.90192,0.39255674912045335,39.255674912045336,0.0,0.0003725762437606805,0.03725762437606805,0.0,0.022254389752611434,2.2254389752611434,0.0,0.00684569180821532,0.6845691808215321,0.0,0.0027656837911115414,0.2765683791111541
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.0,0.350597221234874,0.19386627755480984,0.35952720964375223,0.0,0.01768199268055398,0.00230135912676291,0.0,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,40.66,2231.3978,0.0,0.38292158388685993,0.2050345005968574,0.3866476282320742,0.0,0.025346126163001467,0.009880384806794647,0.00405497626686936,0.0,0.00039440506978563226,0.039440506978563224,0.46456,0.3575026716870251,35.75026716870251,4e-05,0.191172121290836,19.1172121290836,0.5354,0.361127069103972,36.1127069103972,0.0,0.0,0.0,0.0,0.02395565491545864,2.395565491545864,0.0,0.009320903044007829,0.9320903044007829,0.0,0.0036661583438861514,0.3666158343886151
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.02326104042985154,0.29911976727730527,0.2122182819891351,0.3031086315198079,2.033160578900073e-05,0.010031989142255377,0.002413437393638847,0.0,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,26.04,1986.2087,0.016651090384067632,0.327060656490738,0.22410392066606455,0.3266085258337519,0.0,0.019299234372670327,0.011764305055972993,0.0057964634234658925,0.0,0.01682679496573286,1.682679496573286,0.5009,0.3335267673175214,33.35267673175214,0.0075,0.22821440242859786,22.821440242859786,0.4916,0.33319379675736716,33.31937967573671,0.0,9.581980690407712e-05,0.009581980690407712,0.0,0.019558462860678097,1.9558462860678096,0.0,0.012048615007669627,1.2048615007669627,0.0,0.005761362284637231,0.5761362284637231
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.0,0.3487610292605964,0.21669231172348338,0.33543650992800417,0.0,0.01716646175818368,0.003931372940051502,0.0,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,42.9,2843.327,0.0,0.38178716082803266,0.2300808370569724,0.3611509896828689,0.0,0.024262430652427513,0.010997727578894462,0.0035425996848726556,0.0,7.764217091506017e-05,0.007764217091506017,0.68464,0.35730351992809073,35.73035199280908,0.0007,0.2155083364417283,21.55083364417283,0.31466,0.3378784871422704,33.78784871422704,0.0,0.0,0.0,0.0,0.022706905482992312,2.270690548299231,0.0,0.010349810460231711,1.0349810460231712,0.0,0.003085733582801219,0.3085733582801219
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.01935719815219665,0.339650447944169,0.20475951111669058,0.27938152809271966,0.0,0.01625733147362429,0.0023923942894145526,0.0,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,28.67,2058.5922,0.012747248106412742,0.37068486634402165,0.21679515711653222,0.2979075465228262,0.0,0.02630046322669388,0.01246209871518296,0.006508574679709635,0.0,0.01299327519159032,1.299327519159032,0.95632,0.3736834194343127,37.36834194343127,0.00136,0.21806637149266217,21.806637149266216,0.04232,0.3000762159009527,30.00762159009527,0.0,1.0999649388933993e-05,0.0010999649388933994,0.0,0.026630604101422532,2.6630604101422533,0.0,0.012225247501712182,1.2225247501712182,0.0,0.006469666194728742,0.6469666194728741
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.0,0.29996979157686465,0.1851616103192293,0.3644681904201353,0.0,0.00978021400813955,0.0018616115476233353,0.0,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,25.91,1632.3935,0.0,0.32637375145975833,0.1931261816490387,0.39387626846584023,0.0,0.019059932421396867,0.011161689874942697,0.005761462958072016,0.0,0.00014768739791330023,0.014768739791330024,0.05462,0.32382012454900805,32.3820124549008,4e-05,0.19198595050211292,19.198595050211292,0.94534,0.3914549665584317,39.14549665584317,0.0,3.980194009022872e-05,0.003980194009022872,0.0,0.018891448531999616,1.8891448531999617,0.0,0.01111352800404881,1.111352800404881,0.0,0.0058045526417850974,0.5804552641785098
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.0852377071722509,0.2765363393465813,0.1732901242939748,0.30731076635872584,0.0,0.009343362965130674,0.0016121511391064677,0.0,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,18.79,2532.8711,0.08276607752480336,0.30080821385861434,0.18013887716628996,0.3304577242081658,0.0,0.02005771646258543,0.012378990498478532,0.007203681646430371,0.0,0.08466391908469502,8.466391908469502,0.24168,0.3081010534065369,30.81010534065369,0.00082,0.1848639669704269,18.48639669704269,0.7575,0.33835674103353736,33.83567410335374,0.0,0.0002442650744438125,0.02442650744438125,0.0,0.020611788404924454,2.0611788404924454,0.0,0.012587007928076141,1.2587007928076142,0.0,0.007774216739749171,0.7774216739749171
