joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03504,0.22148940633272365,22.148940633272364,0.0,0.048517247624055196,4.85172476240552,0.00454,0.18258390399738225,18.258390399738225,0.95992,0.3211084944408246,32.11084944408246,0.0005,0.14764904235666768,14.764904235666767,0.0,0.03306973768840706,3.3069737688407064,0.0,0.036769801618944484,3.6769801618944484
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03262,0.2212861724423032,22.12861724423032,0.0,0.04860009571670727,4.8600095716707274,0.0043,0.18232443853026634,18.232443853026634,0.96276,0.32133122690636884,32.13312269063688,0.00032,0.1474288473576277,14.74288473576277,0.0,0.03306963123521656,3.3069631235216557,0.0,0.037135805384858445,3.7135805384858447
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03344,0.22108419729108764,22.108419729108764,0.0,0.04824916613646223,4.824916613646224,0.0051,0.18277589476421308,18.27758947642131,0.96096,0.3209565205871751,32.09565205871751,0.0005,0.14743283414931754,14.743283414931755,0.0,0.03368076248086167,3.3680762480861675,0.0,0.03680491204739633,3.680491204739633
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03406,0.22118919956963834,22.118919956963833,0.0,0.04905819395372642,4.9058193953726414,0.0046,0.18241905536409694,18.241905536409693,0.96088,0.32117868821207113,32.11786882120711,0.00046,0.1472337781738238,14.72337781738238,0.0,0.03327139539508177,3.3271395395081766,0.0,0.03717001609536437,3.717001609536437
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.0326,0.22109046102373514,22.109046102373515,0.0,0.048653857680198524,4.865385768019852,0.00456,0.18271701309555394,18.271701309555393,0.96242,0.3211602882205018,32.11602882205018,0.00042,0.14747514820048926,14.747514820048927,0.0,0.03380549179431236,3.380549179431236,0.0,0.03652713059766141,3.6527130597661412
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03398,0.2211798320290681,22.11798320290681,0.0,0.048335820312353325,4.833582031235332,0.00398,0.18265844968137168,18.265844968137166,0.9617,0.3210396101308316,32.10396101308316,0.00034,0.14749003408106104,14.749003408106104,0.0,0.032900659530807015,3.2900659530807017,0.0,0.03673502408554209,3.673502408554209
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.0323,0.22115224307598946,22.115224307598947,0.0,0.04893235250922766,4.893235250922766,0.00432,0.18232205930454998,18.232205930455,0.96294,0.32115999805534845,32.11599980553485,0.00044,0.14735017999237335,14.735017999237336,0.0,0.03313667130688255,3.3136671306882546,0.0,0.03682335652474468,3.682335652474468
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.033,0.22158612900732594,22.158612900732592,0.0,0.048197393941031896,4.819739394103189,0.0052,0.1829640055566012,18.29640055566012,0.96124,0.32118503983219193,32.11850398321919,0.00056,0.14728681587496478,14.728681587496478,0.0,0.032982548483895466,3.2982548483895466,0.0,0.03697448185281678,3.697448185281678
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03368,0.22091410944566756,22.091410944566757,0.0,0.04910809528140356,4.910809528140356,0.00402,0.18274216202633545,18.274216202633546,0.9619,0.3211659999830846,32.11659999830846,0.0004,0.1473746007189634,14.737460071896342,0.0,0.03337974103123539,3.3379741031235386,0.0,0.036684701703606944,3.6684701703606946
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03426,0.22130122110403183,22.130122110403182,0.0,0.04854407198745388,4.854407198745387,0.00456,0.18254956074269205,18.254956074269206,0.96064,0.3207463664274378,32.07463664274378,0.00054,0.14768882297823943,14.768882297823943,0.0,0.03332968615847958,3.332968615847958,0.0,0.036650921388959146,3.665092138895915
CITY OF CHICAGO:Ward 01 Precinct 11,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.0323,0.22120852877148503,22.120852877148504,0.0,0.048905490635732456,4.890549063573245,0.00378,0.1823377262534311,18.233772625343107,0.96334,0.3211496520233954,32.11496520233954,0.00058,0.14764333693207501,14.7643336932075,0.0,0.03354124059094274,3.354124059094274,0.0,0.036791725245381254,3.6791725245381253
CITY OF CHICAGO:Ward 01 Precinct 12,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03428,0.22128395315824412,22.128395315824413,0.0,0.04876355722760814,4.876355722760814,0.00438,0.1826337645621718,18.26337645621718,0.96082,0.3213243026399398,32.132430263993975,0.00052,0.14727040965420757,14.727040965420757,0.0,0.03340918035787546,3.340918035787546,0.0,0.03672394017287553,3.672394017287553
CITY OF CHICAGO:Ward 01 Precinct 13,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03192,0.22077712494283477,22.077712494283478,0.0,0.04912282970428451,4.912282970428452,0.00468,0.1826077602833211,18.26077602833211,0.96282,0.32102354578826975,32.102354578826976,0.00058,0.1472576634557991,14.72576634557991,0.0,0.033376695600410324,3.337669560041032,0.0,0.037029584661479265,3.7029584661479262
CITY OF CHICAGO:Ward 01 Precinct 14,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03304,0.22107555872212326,22.107555872212327,0.0,0.04859163339189975,4.859163339189975,0.00472,0.18294588335728343,18.294588335728342,0.96186,0.3212619664453399,32.12619664453399,0.00038,0.14737324530850587,14.737324530850588,0.0,0.03308255814832233,3.308255814832233,0.0,0.0370106475284445,3.7010647528444496
CITY OF CHICAGO:Ward 01 Precinct 15,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03314,0.22147048069546543,22.147048069546543,0.0,0.048663697168872214,4.866369716887221,0.00468,0.18277572482489707,18.277572482489706,0.9618,0.32075116752979094,32.07511675297909,0.00038,0.14736125673934308,14.736125673934309,0.0,0.03311312603156286,3.3113126031562863,0.0,0.03692836783510066,3.692836783510066
CITY OF CHICAGO:Ward 01 Precinct 16,100.0,0.17780465037711515,0.02778214518557875,0.15461241835904566,0.259208930961695,0.12597730436646928,0.012133363437065968,0.01602862732498834,0.21201773196552615,0.046609557083787875,0.17521787204693529,0.3080251131924655,0.14144049375264092,0.03175374128997765,0.03523801306183666,0.03224,0.2213641437309759,22.13641437309759,0.0,0.0489628145898343,4.89628145898343,0.00414,0.18236687939693003,18.236687939693002,0.9631,0.3211726059647313,32.11726059647313,0.00052,0.14727492154377048,14.727492154377048,0.0,0.03328362999730172,3.3283629997301722,0.0,0.03712379584216673,3.712379584216673
