joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,pct_black,pct_hispanic,pct_white,pct_asian,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.25576583443333667,0.12649561558979605,0.12467627294261582,0.13438113448250977,0.06209860864892035,0.034852866113191994,0.03385425594872367,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,2143.8488,0.3106609086863853,0.15080857042370827,0.14833784541560355,0.16049187180526142,0.07459410792334015,0.05712321388806886,0.05613595140274453,0.99638,0.32423930672681667,32.423930672681664,0.00096,0.15666467314142757,15.666467314142757,0.00084,0.15437864572954624,15.437864572954624,0.00182,0.16691833138094542,16.69183313809454,0.0,0.07779894876162302,7.779894876162302,0.0,0.05941949340554434,5.941949340554434,0.0,0.058488356601354305,5.84883566013543
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.2470498062457168,0.12438939694336061,0.1223058072103976,0.14972765431371748,0.06199880924300215,0.034067377751329314,0.03258573645157038,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,2256.8924,0.3002242294357603,0.14842220588846627,0.14575728323982942,0.17818531893882628,0.07426926157723902,0.056410600829211954,0.054883569635778735,0.9877,0.31290752474793126,31.290752474793127,0.00166,0.15456403995944445,15.456403995944445,0.0012,0.15136437698567656,15.136437698567656,0.00942,0.1856529578779248,18.56529578779248,0.0,0.0772613991989002,7.72613991989002,0.0,0.058588314093102375,5.858831409310238,2e-05,0.05744252235638097,5.744252235638097
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.22469813759545085,0.12267720611629139,0.1177156668668706,0.19211481597210567,0.05380792932215506,0.03146840105312747,0.029642431233093323,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,2080.7738,0.2748483011173889,0.14594554762775103,0.1402181462106566,0.22806061811862957,0.06491749334597853,0.05309500735209176,0.05106735577261568,0.8126,0.28597515475182994,28.597515475182995,0.00142,0.15135028556700192,15.135028556700192,0.00204,0.1458414306726717,14.584143067267169,0.18392,0.23718276896077262,23.718276896077263,0.0,0.06756455074718226,6.756455074718226,0.0,0.055744582945078384,5.5744582945078385,2e-05,0.05308216711540537,5.308216711540537
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.21595793438181696,0.11766045899430765,0.11463039870580294,0.20453344747028512,0.060358168650322924,0.031143017365212983,0.02784116259134554,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,2293.3597,0.26424748025209777,0.14079703778350405,0.1374140495622104,0.24174454355760172,0.07197659225288447,0.052762016492355665,0.04921074964445777,0.66174,0.2750256180081049,27.502561800810486,0.00074,0.14686236151634102,14.686236151634102,0.00198,0.1426476152466464,14.26476152466464,0.33552,0.25145461332346214,25.145461332346215,2e-05,0.07450587621677063,7.450587621677062,0.0,0.05504585789911129,5.504585789911129,0.0,0.05153475878527344,5.1534758785273445
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.2279739760599054,0.1328698893645054,0.12159799649402442,0.16530142691744656,0.05713030814353559,0.035427783325924486,0.03182320785375242,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,2231.3978,0.278959399402988,0.1567028277818108,0.14453671626156744,0.19542806388046205,0.06920647887462503,0.058507422769164805,0.054811560574493844,0.93498,0.29046793777595636,29.046793777595635,0.00606,0.16319290741146578,16.319290741146578,0.00346,0.15038118616281343,15.038118616281343,0.0555,0.20348511650826534,20.348511650826534,0.0,0.07212433915953939,7.212433915953939,0.0,0.06153608852182811,6.153608852182811,0.0,0.05670242191086364,5.670242191086364
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.2299525606973077,0.11374889550058521,0.12683297237943816,0.16805727594614356,0.07400455130865502,0.030127925959294064,0.029400406367670735,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,1986.2087,0.2801407308888092,0.1375461303901634,0.151443968366415,0.2006135111221247,0.08795812867742445,0.0506786085614849,0.049771391538690486,0.93026,0.29176329956349356,29.176329956349356,0.0012,0.14280856920314783,14.280856920314783,0.00532,0.15761269249068385,15.761269249068386,0.06322,0.20839591837685761,20.839591837685763,0.0,0.09164370792129162,9.164370792129162,0.0,0.05259787936664849,5.259787936664849,0.0,0.05176833221989148,5.176833221989148
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.22852863943976656,0.1253722207880979,0.12854611405593175,0.15375204049707408,0.07104761883485905,0.03342460532534694,0.03145334921801794,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,2843.327,0.27851007167975705,0.1494579290452776,0.15293293483563583,0.18269463897993432,0.08518892770083332,0.05572403344115276,0.053643933862521066,0.95682,0.2900353760699055,29.003537606990548,0.00454,0.1557562662197088,15.575626621970882,0.00652,0.1588405666918719,15.88405666918719,0.03202,0.19019464714472978,19.019464714472978,8e-05,0.08873527956318991,8.873527956318991,0.0,0.05790999404000484,5.790999404000484,2e-05,0.05588432020933996,5.588432020933996
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.2529398151563035,0.1365150951546329,0.12247508020628595,0.12672651936676735,0.06007771217814466,0.037574927575663816,0.03581543852129625,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,2058.5922,0.30975295734001795,0.16107826340500858,0.14641142553565062,0.15084643435270825,0.07276130701794055,0.05949950909709953,0.057802572796686665,0.99584,0.32322310917370545,32.322310917370544,0.00228,0.1670973284985233,16.70973284985233,0.0011,0.15275304497983444,15.275304497983445,0.00076,0.15696270121271855,15.696270121271855,2e-05,0.07552166397344512,7.552166397344512,0.0,0.061780819220786744,6.1780819220786745,0.0,0.060449635422331865,6.044963542233186
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.21683582613625454,0.11413192329571815,0.11677229239565168,0.20654327676936132,0.060706851259540826,0.028976397085413507,0.028158021217154532,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,1632.3935,0.2626352386952244,0.13726561790725844,0.13884549337129476,0.2453447134613825,0.07270813962689987,0.051238047361395256,0.05011521912165707,0.62574,0.27303021067625355,27.303021067625355,0.00032,0.14301945357696688,14.301945357696688,0.0021,0.1444769522313029,14.44769522313029,0.37184,0.25529421256412754,25.529421256412753,0.0,0.07576423680297101,7.576423680297101,0.0,0.05334438287897402,5.334438287897402,0.0,0.05202765137179226,5.202765137179226
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.22793030229943081,0.12125719493910549,0.11663466323593633,0.18623507484745583,0.05806828166491418,0.03181552073095614,0.03018355044129555,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,2532.8711,0.2783242724016659,0.14467340603104145,0.1395391140926611,0.22106049181830903,0.0697288289168656,0.05332223929373976,0.051504116990829234,0.86176,0.2899117182448254,28.991171824482542,0.00106,0.15063839744797924,15.063839744797924,0.00206,0.14505689429316282,14.505689429316282,0.13512,0.22959121416292605,22.959121416292604,0.0,0.07272496477247786,7.2724964772477865,0.0,0.05564314655917908,5.564314655917908,0.0,0.053513519437633585,5.351351943763358
CITY OF CHICAGO:Ward 01 Precinct 11,100.0,0.23044037502135087,0.127019715716633,0.1231584361860639,0.1653209716963295,0.06156040044732107,0.03380412898641359,0.030820560104982176,0.06730941127080987,0.26685576342833045,0.5822825744425842,0.04362312180956836,2690.0161,0.28262170935026654,0.1509009545476193,0.1466107682130408,0.19606478555115528,0.0740051828744735,0.05551752648797513,0.05243154252058125,0.94484,0.29419884498760285,29.419884498760286,0.00338,0.15725899432933035,15.725899432933035,0.00292,0.1522814902699238,15.22814902699238,0.04882,0.20412483702025197,20.4124837020252,4e-05,0.07712572550352961,7.712572550352961,0.0,0.058086022306481286,5.808602230648129,0.0,0.05456755118879149,5.4567551188791485
CITY OF CHICAGO:Ward 01 Precinct 12,100.0,0.24269944657461676,0.1373491218673802,0.13933432492221248,0.1174162799030582,0.06479500150027079,0.03671899854094293,0.03381141485061287,0.06897546310949022,0.13426301470773916,0.656855553235561,0.10239975137635658,1136.4969,0.29685212283058937,0.16183346930781717,0.16430212118369403,0.14004512260899635,0.07847094660149555,0.059749479173500514,0.05689920783901894,0.9888,0.30947806230333696,30.947806230333697,0.00476,0.16864090351164557,16.864090351164556,0.00536,0.1710900936153787,17.10900936153787,0.00108,0.14614100058323484,14.614100058323483,0.0,0.08148374254732493,8.148374254732493,0.0,0.062454405766163984,6.2454405766163985,0.0,0.05920001317910814,5.920001317910814
CITY OF CHICAGO:Ward 01 Precinct 13,100.0,0.24962017218530994,0.142554957153181,0.13294892753970455,0.11883595232960006,0.055244945485932326,0.03830824159118973,0.034611391874176514,0.027799271961562656,0.13161379097455586,0.7306618838184052,0.0819829435325781,1451.297,0.30675666855815276,0.16711244898451555,0.15680632407978837,0.14169753009177818,0.06752696818058841,0.06092603696716105,0.057326492683127485,0.99344,0.31911615001712396,31.911615001712395,0.004,0.1742581293767442,17.42581293767442,0.00194,0.16305686867531133,16.305686867531133,0.00062,0.14747941048562335,14.747941048562335,0.0,0.07017410001720478,7.017410001720478,0.0,0.0635215943767545,6.35215943767545,0.0,0.060079039467848115,6.007903946784811
CITY OF CHICAGO:Ward 01 Precinct 14,100.0,0.24636803849504454,0.13492893895018943,0.1338369649683172,0.1164296402336095,0.06936482994829034,0.03759254557213042,0.03360362999151274,0.10300737609119885,0.13652921068866164,0.65907619654343,0.043935526250168264,1826.6721,0.30109065087398545,0.15968419975645143,0.15858679075754178,0.13876394139632062,0.08357985776767601,0.060188282986288325,0.05625874600684829,0.99272,0.3137594035229886,31.37594035229886,0.0033,0.1664769290555092,16.64769290555092,0.0032,0.1653627293094828,16.53627293094828,0.00078,0.14469538137687754,14.469538137687755,0.0,0.08703370622244458,8.703370622244458,0.0,0.06258077805231826,6.258077805231826,0.0,0.058855362972753386,5.885536297275339
CITY OF CHICAGO:Ward 01 Precinct 15,100.0,0.2520740960590695,0.13037158084383138,0.12283929599625534,0.1317471612438793,0.0644461869134399,0.03678839372269162,0.03385787337992717,0.05154508858656792,0.16447394493940018,0.6932514812007323,0.06110777962460239,2381.9864,0.3080828719989813,0.15482420773125474,0.14676075844642278,0.15631178249986175,0.07703985917043166,0.05900718391723163,0.05612580578092801,0.99552,0.3212220768661783,32.122207686617834,0.00164,0.16128110686812727,16.12811068681273,0.00102,0.15296296914024576,15.296296914024577,0.00182,0.1625132395894679,16.251323958946788,0.0,0.08028286189999134,8.028286189999134,0.0,0.061329307450834536,6.132930745083454,0.0,0.05854525758683572,5.854525758683573
