joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,demo_est_Jamal Green,pct_black,pct_hispanic,pct_white,pct_asian,score_pp,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,final_est_Jamal Green,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King,win_prob_Jamal Green,median_pct_Jamal Green,median_votes_Jamal Green
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.0,0.3853682586553758,0.16952587196647498,0.3468721811423685,0.0,0.02573098980000184,0.0015656903313846576,0.0,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,36.23,2143.8488,0.0,0.41851206274651065,0.1783633284420247,0.3753138519478072,0.0,0.03295168492340216,0.009100057296369285,0.0030295382955885675,0.0,1.2164627302901553e-05,0.0012164627302901554,0.84362,0.3901539476513305,39.01539476513305,0.0,0.16616858763047734,16.616858763047734,0.15638,0.3498527175325085,34.98527175325085,0.0,0.0,0.0,0.0,0.03029754512562105,3.0297545125621053,0.0,0.00840621105345114,0.8406211053451139,0.0,0.0032744182945152393,0.32744182945152395
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.0,0.36883218775124127,0.16818479628112715,0.3544013733517195,0.0,0.02342956672513551,0.0017575471809047668,0.0,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,34.72,2256.8924,0.0,0.40025118481798916,0.17638357629199194,0.38414171765940186,0.0,0.03094656222411886,0.009571869848496735,0.0033121615282515147,0.0,0.000126737091189791,0.0126737091189791,0.6464,0.3771881336768592,37.718813367685925,0.0,0.16599120805303408,16.599120805303407,0.3536,0.362094206118026,36.2094206118026,0.0,0.0,0.0,0.0,0.02945275723460316,2.9452757234603157,0.0,0.009580506856127064,0.9580506856127065,0.0,0.0034923677562185593,0.3492367756218559
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.0,0.33853416288113386,0.14961725221610167,0.4133939292820805,0.0,0.017588562493328536,0.0015670638252341812,0.0,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,31.44,2080.7738,0.0,0.36584052373885223,0.1555269197587336,0.4473369706973399,0.0,0.02569811895582194,0.01003517644800182,0.003956247436526186,0.0,3.221379979319886e-05,0.0032213799793198855,0.02852,0.34336602811929196,34.3366028119292,0.0,0.14570293650954858,14.570293650954858,0.97148,0.4199411197848524,41.994111978485236,0.0,0.00022850514730899123,0.02285051473089912,0.0,0.024399583748384274,2.4399583748384273,0.0,0.009628688107029139,0.9628688107029139,0.0,0.0034329905674437434,0.34329905674437433
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.0,0.3563316518699134,0.13935023515706277,0.4064910450930206,0.0,0.025802205990826194,0.001087853784782802,0.0,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,46.06,2293.3597,0.0,0.3882525084845295,0.14553306823629975,0.4442271842634309,0.0,0.031572975289325,0.007033050670096089,0.0014644052815601088,0.0,0.0002542639756707481,0.02542639756707481,0.0936,0.3605884728015648,36.05884728015648,0.0,0.1354552302668341,13.545523026683409,0.9064,0.4126963348274557,41.26963348274557,0.0,0.0003739393371646395,0.037393933716463955,0.0,0.0292926712685496,2.9292671268549597,0.0,0.006228438459750201,0.6228438459750201,0.0,0.0015720171923084769,0.1572017192308477
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.0,0.36936528645820493,0.14420394451992738,0.38668553144353435,0.0,0.026983086426111837,0.001825143047827258,0.0,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,40.66,2231.3978,0.0,0.401945906853702,0.15158487645746896,0.41999909106594824,0.0,0.033553507178218867,0.008481268101177738,0.0021796196908251617,0.0,0.0003919434640993443,0.03919434640993443,0.3354,0.3740641071130476,37.40641071130476,0.0,0.14084751177316301,14.084751177316301,0.6646,0.3910697950511912,39.10697950511912,0.0,0.0,0.0,0.0,0.03146215132382933,3.1462151323829333,0.0,0.00796926093218548,0.796926093218548,0.0,0.0018736908351156653,0.18736908351156653
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.0,0.3240552192803947,0.184514806499323,0.3197805465128818,0.01148053979838316,0.013551032223369059,0.002180433617908263,0.0,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,26.04,1986.2087,0.0,0.35052153287885446,0.1930751286259635,0.34623428284234925,0.010948484490793952,0.022789568926601222,0.011973168809964126,0.0052702056813304955,0.0,0.0,0.0,0.53942,0.3535540199984071,35.35540199984071,0.0002,0.19441770424637406,19.441770424637404,0.46038,0.34936549342111367,34.93654934211137,0.0,0.011256326434584244,1.1256326434584245,0.0,0.022832723815436273,2.283272381543627,0.0,0.012120690457229213,1.2120690457229213,0.0,0.005152421318813752,0.5152421318813752
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.0,0.3757303987978196,0.17027140202739782,0.35406869528135865,0.0,0.024669249113636823,0.003137768423585781,0.0,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,42.9,2843.327,0.0,0.4093789849783883,0.17934930597117724,0.3848477316221445,0.0,0.03096623571570345,0.00963617804778932,0.002026662210522818,0.0,7.748850876860402e-05,0.007748850876860402,0.71694,0.38171678298104317,38.17167829810432,0.0,0.16725997161006098,16.7259971610061,0.28306,0.3587051180752268,35.87051180752268,0.0,0.0,0.0,0.0,0.02888274405921626,2.888274405921626,0.0,0.00902048370347221,0.9020483703472211,0.0,0.0016709676857514038,0.1670967685751404
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.0,0.37734739090663555,0.16871730609975982,0.32458236172467925,0.0,0.02477838777260583,0.00220924973903861,0.0,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,28.67,2058.5922,0.0,0.40845169086079947,0.1780358538790385,0.3481400630657632,0.0,0.03370181713687362,0.0115648134686092,0.0048265978858582845,0.0,3.738688340418788e-05,0.0037386883404187878,0.92402,0.3934030312649734,39.34030312649734,0.0,0.17107021256707405,17.107021256707405,0.07598,0.3351040899565837,33.510408995658366,0.0,1.055524797667757e-05,0.001055524797667757,0.0,0.03252560747315332,3.252560747315332,0.0,0.01082974062608925,1.082974062608925,0.0,0.0045339895550895425,0.45339895550895426
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.0,0.31364307665143837,0.1538246386792637,0.39630914562581254,0.0007033159449823349,0.013886019003847283,0.0016975628071996816,0.0,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,25.91,1632.3935,0.0,0.337119784909221,0.15848652587488796,0.4296418163779254,0.0,0.023408448525998448,0.011564672350628444,0.005365626559850546,0.0,0.0001452016823697579,0.01452016823697579,0.01396,0.32959799594823164,32.95979959482317,0.0,0.1552377043854139,15.52377043854139,0.98604,0.42079608882607167,42.07960888260717,0.0,3.905982906020999e-05,0.003905982906020999,0.0,0.022883514208365464,2.2883514208365465,0.0,0.011345054473184887,1.1345054473184888,0.0,0.005319981999134231,0.5319981999134231
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.03705608636001664,0.28584559963835054,0.1507122506495781,0.33904624514054815,0.007024283373030994,0.013227996991560078,0.0016400925673127078,0.0,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,18.79,2532.8711,0.03033152978053171,0.3068022885024382,0.15549442778302003,0.3661534259204494,0.007089718066974414,0.02449403677799271,0.013372415405036874,0.007187490606775815,0.0,0.031947163094391134,3.1947163094391136,0.084,0.3222592997142605,32.22592997142605,4e-05,0.16359087753981189,16.35908775398119,0.91596,0.38455535861230333,38.45553586123033,0.0,0.007781456563407488,0.7781456563407488,0.0,0.025771479180747903,2.5771479180747905,0.0,0.013956742126969263,1.3956742126969264,0.0,0.007945697604002468,0.7945697604002467
