joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,pct_black,pct_hispanic,pct_white,pct_asian,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.24802590711786152,0.14305451866748484,0.13436791790332175,0.1909520444961662,0.031999333434346446,0.039773062424667015,0.01860080591326889,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,2143.8488,0.28796905526160516,0.16296584977094966,0.1525259390329508,0.22280489123361347,0.036202823689025505,0.055403199639688025,0.03608325080886306,0.89066,0.30025306766767257,30.025306766767258,0.00276,0.16917895095733607,16.917895095733606,0.0026,0.15858544585718984,15.858544585718985,0.10398,0.2316539495349606,23.16539495349606,0.0,0.037890923608357496,3.78909236083575,0.0,0.057565410276138554,5.7565410276138556,0.0,0.03756801647652469,3.756801647652469
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.24447659929008617,0.1388111561915161,0.13182680436041655,0.20323520538879236,0.03324669041050732,0.03719703903148071,0.017980095284317515,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,2256.8924,0.2836915453615816,0.1582803430757727,0.1498620694744472,0.236414448323066,0.03752304129757986,0.05266702649109664,0.035516535413151744,0.81364,0.29542456193993794,29.542456193993793,0.00194,0.16463452017126365,16.463452017126365,0.00192,0.15548034924371384,15.548034924371384,0.1825,0.24618110445309663,24.618110445309664,0.0,0.03914494447880479,3.914494447880479,0.0,0.05465651659217241,5.465651659217241,0.0,0.03732080791334323,3.7320807913343232
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.2310087150789705,0.14733780179040082,0.12606568976318114,0.22793659488920598,0.028538577986718563,0.02967171586925309,0.01621449457938658,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,2080.7738,0.2698338081309556,0.1657019211204498,0.1434491708162201,0.26591982320446655,0.03226605154240308,0.04383988738473904,0.03294434723746154,0.52632,0.28011534265698823,28.011534265698824,0.00128,0.17150234608553896,17.150234608553898,0.00122,0.14882961767971326,14.882961767971326,0.47118,0.27595296523389456,27.595296523389457,0.0,0.03366478249302312,3.366478249302312,0.0,0.04603884147956421,4.603884147956421,0.0,0.034267252747181974,3.4267252747181973
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.23156336647367828,0.12471303728261915,0.12506200324873443,0.245958710305564,0.037638317148510875,0.02624867066103111,0.015589484836978699,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,2293.3597,0.2691806002946557,0.14247417999220688,0.14285279361976064,0.2845644194994647,0.04233866398423297,0.04018781152141625,0.03235654052495842,0.38512,0.27988670595207144,27.988670595207143,6e-05,0.14832754390201264,14.832754390201263,0.0005,0.1481465919965939,14.814659199659392,0.61432,0.2956573461591575,29.56573461591575,0.0,0.04376506652400196,4.376506652400196,0.0,0.04193074444614903,4.193074444614903,0.0,0.03404384772959863,3.4043847729598626
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.21574458472452365,0.16853062006959751,0.12478040655634476,0.209589454097395,0.028594250584663597,0.041654164314355493,0.017880109610236686,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,2231.3978,0.25373544005817633,0.18776768880066874,0.14227449179314233,0.2434025843849979,0.03297856142865643,0.05765870976109458,0.03613753320995943,0.56696,0.26382125624969177,26.382125624969177,0.02662,0.19519700863674902,19.519700863674903,0.00362,0.14786131169148048,14.786131169148048,0.4028,0.2530722779817445,25.30722779817445,0.0,0.03464618042026475,3.4646180420264754,0.0,0.06052653753340778,6.0526537533407785,0.0,0.03741264896786069,3.7412648967860687
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.2477203719791973,0.10116382893023908,0.145211787097793,0.21993324464619612,0.0543269405867627,0.021284969040655122,0.01713244767627331,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,1986.2087,0.285248420250267,0.11865391227309838,0.16496552839974513,0.2561033903473531,0.06157194160187128,0.03437521267483051,0.03303660388953032,0.70794,0.2969304033370718,29.69304033370718,2e-05,0.12296876215925384,12.296876215925383,0.0036,0.17157886910233994,17.157886910233994,0.28844,0.2661552931920741,26.61552931920741,0.0,0.064239271069977,6.4239271069976995,0.0,0.03551459578028181,3.551459578028181,0.0,0.03434680839206182,3.434680839206182
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.22838873406306823,0.13326206111169264,0.1395583197185694,0.20634662191816588,0.047270311738215956,0.0331140908433789,0.01883345056402538,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,2843.327,0.26494337332340434,0.15156087152182068,0.1587616992553716,0.23956826672882628,0.05444414557329556,0.048188856290674834,0.036487796743302124,0.67952,0.27620784939048404,27.620784939048406,0.0016,0.15800952475759356,15.800952475759356,0.00734,0.1650293059992809,16.50293059992809,0.31154,0.2497591090595152,24.97591090595152,0.0,0.05684522904490363,5.684522904490363,0.0,0.050115039136674554,5.011503913667456,0.0,0.0381233837599963,3.81233837599963
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.2244312082125949,0.17522977754887456,0.12311180641230574,0.18359236284510277,0.02760897089332548,0.05204892825279224,0.020750535792120713,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,2058.5922,0.26533569599835405,0.19550420371232272,0.1415020927169094,0.214457311048042,0.031704166631974555,0.06754980217524795,0.03790173715384478,0.79876,0.27671483261804264,27.671483261804262,0.05536,0.2026505906250865,20.26505906250865,0.00418,0.14746969353314443,14.746969353314443,0.1417,0.2229096023316938,22.29096023316938,0.0,0.03280434259597183,3.280434259597183,0.0,0.07005800508061227,7.005800508061228,0.0,0.03966049603806231,3.9660496038062307
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.2465403913284366,0.10560785517769113,0.13323999096406552,0.24385423443966592,0.04193451682675228,0.019432795780591455,0.016163805439913647,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,1632.3935,0.2825878057197058,0.12295903746890494,0.1503110192125766,0.28312773966212235,0.04761154399075756,0.03375078977635007,0.033607073606278286,0.49508,0.2935013969689563,29.350139696895628,0.0,0.12798767734359118,12.798767734359117,0.00062,0.15619052103586137,15.619052103586137,0.5043,0.29414923609215615,29.414923609215617,0.0,0.04960362450799156,4.960362450799156,0.0,0.035302057985619334,3.5302057985619335,0.0,0.034848761616290816,3.4848761616290815
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.23573500224134983,0.13544457874669197,0.12605082737172094,0.2280048567533957,0.03337568771328824,0.031017619095566207,0.017145018035103904,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,2532.8711,0.2743840797702807,0.15375286318400527,0.14385501264800096,0.26533285580669597,0.03771859543353841,0.045109535385732716,0.03380206720844187,0.56958,0.2854427881876886,28.54427881876886,0.0004,0.15980485477710604,15.980485477710605,0.0011,0.14935199796569718,14.935199796569718,0.42892,0.2753429629799178,27.53429629799178,0.0,0.03945409917006143,3.9454099170061427,0.0,0.047076501520455394,4.70765015204554,0.0,0.035064723629184204,3.5064723629184202
