joinfield,turnout_weight,demo_est_Paul Vallas,demo_est_Brandon Johnson,demo_est_Lori Lightfoot,demo_est_Chuy García,demo_est_Willie Wilson,demo_est_Kam Buckner,demo_est_Sophia King,pct_black,pct_hispanic,pct_white,pct_asian,total,final_est_Paul Vallas,final_est_Brandon Johnson,final_est_Lori Lightfoot,final_est_Chuy García,final_est_Willie Wilson,final_est_Kam Buckner,final_est_Sophia King,win_prob_Paul Vallas,median_pct_Paul Vallas,median_votes_Paul Vallas,win_prob_Brandon Johnson,median_pct_Brandon Johnson,median_votes_Brandon Johnson,win_prob_Lori Lightfoot,median_pct_Lori Lightfoot,median_votes_Lori Lightfoot,win_prob_Chuy García,median_pct_Chuy García,median_votes_Chuy García,win_prob_Willie Wilson,median_pct_Willie Wilson,median_votes_Willie Wilson,win_prob_Kam Buckner,median_pct_Kam Buckner,median_votes_Kam Buckner,win_prob_Sophia King,median_pct_Sophia King,median_votes_Sophia King
CITY OF CHICAGO:Ward 01 Precinct 01,100.0,0.33085397131050265,0.14547852791881183,0.1321476285346831,0.1289594248490993,0.034415635757308924,0.02466332835133058,0.014894680003800113,0.05017643968175367,0.18833851529081713,0.6626389417014856,0.05878241040133054,2143.8488,0.3833540407432697,0.1676977895998766,0.15327101518152098,0.1451529176947705,0.041968294746304285,0.03815699733796027,0.031251372201677424,1.0,0.3961989699899961,39.61989699899961,0.0,0.17255261000199318,17.25526100019932,0.0,0.15792393717302045,15.792393717302044,0.0,0.1494973256423902,14.94973256423902,0.0,0.04344669789972948,4.344669789972948,0.0,0.039295604836859274,3.9295604836859273,0.0,0.032291189796341824,3.2291189796341824
CITY OF CHICAGO:Ward 01 Precinct 02,100.0,0.31501309816253087,0.14415515155006867,0.1310428866899903,0.14706391486146356,0.03653479382192193,0.023937135434750637,0.013666216204810618,0.043268389755754415,0.2246463322753003,0.6176425601858555,0.06958298056212162,2256.8924,0.36542545932881143,0.16621886642265613,0.1520135489280173,0.16546147363257938,0.04401591762360642,0.03759877823073253,0.03011838333897667,0.99976,0.3773067186862601,37.73067186862601,0.0001,0.17144299289432652,17.144299289432652,4e-05,0.1563131015630498,15.63131015630498,0.0001,0.17069372872657373,17.069372872657375,0.0,0.045450879262099696,4.54508792620997,0.0,0.03873686251438377,3.873686251438377,0.0,0.03140013312524832,3.1400133125248324
CITY OF CHICAGO:Ward 01 Precinct 03,100.0,0.28016697625590314,0.14140824469514515,0.12307946853496424,0.20757402176592535,0.027074052888919842,0.021992036310323027,0.010118396274356031,0.02576027245248859,0.344256881742744,0.5278031182437996,0.06570555626949937,2080.7738,0.32679327454251833,0.16317974413089711,0.14333116363203735,0.23284856268604454,0.0337523168913089,0.03513884546182587,0.025808520160747903,0.9638,0.3361600796700617,33.61600796700617,0.00032,0.16721286236432176,16.721286236432174,0.00016,0.14729253033326933,14.729253033326934,0.03572,0.23941081149106153,23.941081149106154,0.0,0.03483682785124222,3.4836827851242225,0.0,0.03673149836515119,3.673149836515119,0.0,0.026648020723622472,2.664802072362247
CITY OF CHICAGO:Ward 01 Precinct 04,100.0,0.26503086017240474,0.1426762964118604,0.12132999437902747,0.21326663555765488,0.03712568447590874,0.022503618063719363,0.009480107664961076,0.046914794918564234,0.3686836827210315,0.4767157546197398,0.06427356336644444,2293.3597,0.3093886479710874,0.1644710695456051,0.14172337834465382,0.2397823426318361,0.04445248228798748,0.035725739291882684,0.025308767432327323,0.906,0.3187613587967263,31.876135879672628,0.00092,0.16959501643091468,16.959501643091468,0.00032,0.14565181040549874,14.565181040549874,0.09276,0.2467689784283122,24.67689784283122,0.0,0.045534939275210934,4.553493927521093,0.0,0.036954308663992776,3.6954308663992776,0.0,0.026487602751284756,2.648760275128476
CITY OF CHICAGO:Ward 01 Precinct 05,100.0,0.29057410179419285,0.14986727291997878,0.127584565770216,0.17555124429320365,0.029836347591362625,0.024969029073797562,0.013030635282785186,0.024369119661227595,0.2458323657036858,0.5638384155438353,0.08760553586635246,2231.3978,0.3383590271666065,0.17171280081376447,0.1481709374858088,0.19559648375691865,0.03731061284365095,0.039468953472427584,0.030233611966202993,0.99576,0.3487940660297057,34.87940660297057,0.00072,0.17691415942201275,17.691415942201274,0.00014,0.1525647010675557,15.256470106755572,0.00338,0.20159007617867458,20.15900761786746,0.0,0.03876761550532716,3.876761550532716,0.0,0.041287191816084916,4.128719181608491,0.0,0.030966504349126033,3.096650434912603
CITY OF CHICAGO:Ward 01 Precinct 06,100.0,0.28275396847604295,0.14030098731885912,0.13258587330092564,0.1660973131746477,0.053765274912776745,0.022268213186222578,0.01364156635606192,0.14760528437922962,0.3122971921329315,0.5172709695612552,0.0020683123581122166,1986.2087,0.32936593958276694,0.16288597087906803,0.15410529579750182,0.18825516257803648,0.06320141702431666,0.03428483447509917,0.028753807168590863,0.99514,0.34018794323630197,34.018794323630196,0.00076,0.16778785950487984,16.778785950487986,0.00044,0.15904339822749902,15.904339822749902,0.00366,0.1938938693773215,19.38938693773215,0.0,0.06540924983006124,6.540924983006125,0.0,0.0351347455326991,3.5134745532699103,0.0,0.029657937043864338,2.9657937043864337
CITY OF CHICAGO:Ward 01 Precinct 07,100.0,0.28471792612294644,0.14646529201305553,0.1349164758214708,0.1550446178142856,0.05062646752100318,0.023995322999160004,0.015647094433615286,0.11716633366475258,0.24511180036626104,0.5269110798722764,0.04021953858982804,2843.327,0.3312254765436374,0.16885995600787038,0.15634204546116431,0.17403896876719896,0.06020148412328993,0.03772227508727799,0.03246222151494116,0.99748,0.34236740672763655,34.23674067276365,0.00084,0.174506643503149,17.450664350314902,0.0003,0.1610476310721186,16.104763107211863,0.00138,0.17974066789685722,17.974066789685722,0.0,0.06226408973303165,6.226408973303165,0.0,0.03894303034180567,3.894303034180567,0.0,0.033615547884349395,3.3615547884349395
CITY OF CHICAGO:Ward 01 Precinct 08,100.0,0.3322617939950133,0.15171914688607815,0.12765900809309946,0.12516704236276702,0.0312787235680089,0.026306889014651523,0.017020592805918305,0.061240881025392005,0.1601111672336075,0.7095671983989835,0.043281811715792956,2058.5922,0.3870609045448112,0.17412340264654383,0.14897932366276914,0.13946324306750915,0.03885730058113194,0.03935851582681592,0.033009737175798755,0.99994,0.40006118555311065,40.00611855531106,6e-05,0.17881502063991622,17.881502063991622,0.0,0.15387432925532646,15.387432925532647,0.0,0.14362475612436132,14.362475612436132,0.0,0.039922797438554605,3.9922797438554607,0.0,0.040407336859603085,4.0407336859603085,0.0,0.034263509948153234,3.4263509948153232
CITY OF CHICAGO:Ward 01 Precinct 09,100.0,0.2600495108949944,0.1417776567760411,0.12272990679500004,0.21743063865710144,0.0376261134415359,0.02083526451650958,0.010964105644354016,0.05724593978106383,0.3927746588062253,0.40642412506543313,0.03884424925730224,1632.3935,0.30132732677988777,0.1636238582050172,0.14242879948744314,0.24554032634273795,0.045595925837626144,0.03478773605295425,0.027548454799713247,0.85214,0.3102671122458781,31.02671122458781,0.00084,0.16865128760870984,16.865128760870984,0.00052,0.14672239075030274,14.672239075030275,0.1465,0.2528635088229175,25.286350882291753,0.0,0.047144153158163574,4.714415315816358,0.0,0.03605147651074456,3.605147651074456,0.0,0.028369286957839315,2.8369286957839317
CITY OF CHICAGO:Ward 01 Precinct 10,100.0,0.2832589427713669,0.14229104155013672,0.12364636771909837,0.1943855304790485,0.03412284012899996,0.02225487934927184,0.011453594727614352,0.04754146391421182,0.32983561619065416,0.5329246324457648,0.05460743738597673,2532.8711,0.3301787136673922,0.16422095086018995,0.14414764097873273,0.2186281281980615,0.04131313702657022,0.03525628077448612,0.02710757599994717,0.98212,0.3404175031519891,34.04175031519891,0.00048,0.16914471350284138,16.91447135028414,0.00026,0.1482403233086581,14.82403233086581,0.01714,0.22460833178475909,22.46083317847591,0.0,0.04273539972150277,4.273539972150277,0.0,0.036499311821057784,3.6499311821057785,0.0,0.02779689981768682,2.779689981768682
